GENE_SYMBOL,Log_FoldChange,absLogFC,logCPM,PValue,FDR_adjusted_P.value
MGAT3,1.334,1.334,-1.895,0.070323148,0.133737062
MIR365A,-1.334,1.334,-3.086,0.149776495,0.244549005
PCDHA2,1.334,1.334,-3.298,0.170290245,0.270625887
LOC100379224,1.333,1.333,-0.121,0.000121672,0.000628681
PP2D1,1.333,1.333,-1.913,0.000456468,0.001968345
LOC729040,1.333,1.333,-2.014,0.000880338,0.003441782
LINC00303,1.333,1.333,-3.328,0.034115686,0.074238585
LINC01629,1.332,1.332,-2.845,0.004673519,0.014051225
MIR429,1.332,1.332,-2.948,0.034111302,0.074236228
ZNF439,1.331,1.331,0.067,5.75906E-07,5.63676E-06
LINC00885,1.331,1.331,-2.693,0.018925196,0.045545207
DNAJC5B,1.331,1.331,-3.312,0.094409425,0.169265011
FXYD1,1.33,1.33,-3.32,0.034189421,0.074355876
LUM,-1.33,1.33,-3.254,0.323305846,0.44636886
TMEM187,-1.329,1.329,2.376,4.58508E-08,5.69766E-07
SLC4A1,1.329,1.329,-1.283,0.000242937,0.001141691
LINC00261,1.329,1.329,-1.869,0.001812148,0.006349718
ZSWIM5,1.329,1.329,-0.936,0.002449068,0.008172766
IGLON5,1.329,1.329,-2.845,0.007471759,0.020798861
LINC02130,1.329,1.329,-3.545,0.08298449,0.15249078
NTN5,1.329,1.329,-3.403,0.088652162,0.160648116
LINC00348,1.328,1.328,-3.054,0.038905285,0.082708664
CDH10,-1.328,1.328,-2.557,0.042200373,0.088566837
MIR378H,1.328,1.328,-3.527,0.113928061,0.196568728
C16orf96,1.327,1.327,-3.259,0.052095233,0.104889981
LENG9,-1.327,1.327,-2.944,0.181230811,0.28403898
HMGCS2,-1.327,1.327,-3.218,0.333155819,0.455993469
PAMR1,-1.326,1.326,2.753,4.65052E-05,0.000273606
LOC102724596,1.326,1.326,-2.481,0.001233008,0.004586209
LINC02028,1.326,1.326,-2.494,0.011955908,0.030913011
GPRC5C,-1.325,1.325,3.034,2.48079E-07,2.64058E-06
LINC00161,1.325,1.325,-2.418,0.002270072,0.007666434
PIP5K1B,1.325,1.325,-2.206,0.010392927,0.027423475
LOC101928103,1.324,1.324,0.148,5.08021E-09,7.56215E-08
LINC01695,1.324,1.324,0.348,6.06723E-07,5.89224E-06
SLC26A8,1.324,1.324,-1.796,7.73009E-05,0.000424683
DDX25,1.324,1.324,-1.842,0.006619099,0.018840411
FNDC1,1.324,1.324,-3.6,0.151410611,0.246527252
RIC3,1.323,1.323,-0.947,2.23723E-06,1.88393E-05
CFTR,1.323,1.323,-0.502,0.001223542,0.004554766
FAM30A,1.323,1.323,-0.906,0.020239115,0.048120315
LOC105373191,1.323,1.323,-2.949,0.023866979,0.055182575
ZNF546,1.322,1.322,-0.272,1.14676E-06,1.04256E-05
CCL22,1.322,1.322,-1.377,5.39908E-05,0.000311389
LINC-ROR,1.322,1.322,-2.468,0.005096103,0.015123572
PXDNL,1.322,1.322,-2.755,0.009497875,0.025462003
ADH4,1.321,1.321,-0.807,6.92037E-06,5.13206E-05
PTENP1,1.321,1.321,-2.122,0.013224677,0.033709138
PTGES3L,1.32,1.32,-1.266,2.42992E-05,0.000155089
MCOLN2,1.32,1.32,-1.324,0.000233721,0.001105078
SLC45A1,1.32,1.32,-1.991,0.003416784,0.010820939
TMEM178B,-1.32,1.32,-2.027,0.272944056,0.391022785
SBSPON,1.319,1.319,-1.476,7.44553E-05,0.000410453
EVI2A,1.319,1.319,-1.854,8.14432E-05,0.000444617
LIPC,1.319,1.319,-1.828,0.000790459,0.003139504
ADCY2,1.318,1.318,-0.392,3.82882E-05,0.000231189
RET,1.318,1.318,-0.23,0.002272485,0.007673434
LOC400706,1.317,1.317,0.351,7.94218E-07,7.46804E-06
LOC101927560,1.317,1.317,-1.297,0.003579603,0.011270378
TMSB15A,-1.317,1.317,-2.892,0.075542169,0.141449756
C21orf62,1.317,1.317,-3.698,0.141708734,0.234088254
LOC101929473,1.316,1.316,-1.925,0.000900296,0.003509439
LINC01979,1.316,1.316,-2.887,0.011319631,0.029508708
C11orf72,1.315,1.315,1.791,1.30236E-13,3.92138E-12
CCL20,1.315,1.315,2.498,5.30656E-07,5.23258E-06
UCHL1-AS1,1.315,1.315,-3.101,0.008749283,0.023763903
LOC283683,1.315,1.315,-3.094,0.042048934,0.088314934
TESPA1,1.314,1.314,-1.614,5.34797E-06,4.10674E-05
ERC2-IT1,1.314,1.314,-2.514,0.001908915,0.00663606
DACT1,1.314,1.314,-2.27,0.00311242,0.010014956
MIR4768,-1.314,1.314,-3.504,0.261458894,0.377976614
LOC101929372,1.313,1.313,-0.9,2.16535E-05,0.000140598
LINC00607,1.313,1.313,-1.879,0.006083752,0.017552045
BLACE,1.313,1.313,-3.189,0.018441823,0.044553542
OR7D2,1.312,1.312,-0.901,3.62254E-06,2.90682E-05
SUMO4,1.312,1.312,-2.678,0.00773584,0.021430536
SIAH3,1.312,1.312,-3.146,0.013334232,0.033896924
RSPO1,1.312,1.312,-3.294,0.074461907,0.139916224
GPC5,-1.312,1.312,-3.087,0.290889603,0.410972924
IKZF3,1.311,1.311,0.628,8.55962E-11,1.70525E-09
CEBPA-AS1,-1.311,1.311,-0.421,5.65678E-05,0.000324324
ABCC6,1.311,1.311,-1.776,0.001444746,0.005250508
SPINK1,1.311,1.311,-1.252,0.003049575,0.009834725
TMEM56,1.311,1.311,-2.075,0.024921208,0.057150062
LOC101928052,1.311,1.311,-3.407,0.053773968,0.107605346
SOX18,1.311,1.311,-3.615,0.161798076,0.259773169
TNFSF15,1.31,1.31,0.302,1.42596E-09,2.31907E-08
CCDC17,1.31,1.31,-0.473,2.81718E-06,2.30499E-05
LCE1C,-1.31,1.31,-1.695,0.02748225,0.06219245
SYCP2,1.309,1.309,-1.112,0.000353733,0.00157923
ITIH4,1.309,1.309,-1.623,0.004932482,0.014713711
ZNF32-AS1,-1.309,1.309,-2.496,0.008783338,0.023833375
BRINP1,-1.309,1.309,-1.518,0.039890445,0.084451797
LINC01764,1.309,1.309,-3.403,0.071093319,0.134859656
DDX39B-AS1,1.309,1.309,-3.746,0.206397526,0.314454592
ANKRD34A,1.308,1.308,0.279,2.43059E-05,0.000155089
PGLYRP3,1.308,1.308,-1.476,3.40048E-05,0.000208289
ODF3L1,-1.308,1.308,-0.797,0.000511817,0.002173267
PCDHGA5,1.308,1.308,-2.212,0.000601245,0.002501949
ASIC3,1.308,1.308,-2.008,0.000897931,0.003501433
CCNYL2,1.308,1.308,-2.256,0.001418883,0.005172368
CRLF2,1.308,1.308,-3.625,0.148835732,0.24326817
ABCC12,1.308,1.308,-3.553,0.205178051,0.313084446
MIR3128,-1.307,1.307,-3.262,0.328422829,0.451686821
TUBD1,1.306,1.306,2.216,2.25568E-13,6.58039E-12
FUT6,1.306,1.306,-1.253,0.000119477,0.000619187
SNORD13,1.305,1.305,1.861,3.16148E-05,0.000195782
LYG1,1.305,1.305,-1.877,0.000433842,0.001884507
HTR1D,1.304,1.304,-1.006,2.16718E-06,1.82974E-05
OR2A7,1.304,1.304,-0.616,5.4178E-06,4.15753E-05
GPR146,1.304,1.304,-1.191,4.27016E-05,0.000253884
ARL11,1.304,1.304,-1.246,0.006464609,0.018468436
NKAIN2,-1.304,1.304,-1.256,0.264967222,0.381563657
RAB7B,-1.303,1.303,4.652,8.19337E-11,1.63519E-09
MIR635,-1.303,1.303,-1.582,0.000493235,0.002103099
ERVFRD-1,1.302,1.302,-0.998,6.92866E-07,6.62533E-06
DISC1,1.302,1.302,0.355,1.83809E-06,1.58461E-05
LINC01269,1.301,1.301,-1.357,4.55249E-07,4.57323E-06
LOC100506127,1.301,1.301,0.649,6.90845E-07,6.61775E-06
C14orf132,-1.301,1.301,0.936,1.81386E-05,0.000120131
LINC01550,1.301,1.301,-1.165,0.000141707,0.000719473
PLCH1,1.301,1.301,-1.415,0.000716293,0.00288777
PIGR,1.301,1.301,-0.576,0.002679685,0.008802611
PHF1,1.301,1.301,-2.429,0.072589294,0.137038643
C17orf64,-1.301,1.301,-2.72,0.33750411,0.460571681
MCF2L2,1.3,1.3,0.773,4.07636E-08,5.12782E-07
ST7-AS1,1.3,1.3,-0.942,1.8394E-06,1.58512E-05
COL3A1,1.3,1.3,-2.083,0.071569724,0.135580411
ZNF471,1.299,1.299,2.134,1.89907E-07,2.06547E-06
GPR135,1.299,1.299,-0.737,2.82383E-05,0.000177363
TMEM72-AS1,1.299,1.299,-1.305,4.00242E-05,0.000240316
C6orf136,1.299,1.299,0.702,4.48493E-05,0.000264972
DNAH11,1.299,1.299,0.781,5.31756E-05,0.000307146
RNVU1-19,1.299,1.299,-2.086,0.004799736,0.014367739
PCDHGA3,1.299,1.299,-2.735,0.018181572,0.04400503
TMPRSS6,1.299,1.299,-3.211,0.059807121,0.117104707
IRS4,1.299,1.299,-2.972,0.178170953,0.280337256
SNX32,1.298,1.298,1.567,6.53232E-09,9.46681E-08
LSMEM1,1.298,1.298,-1.637,0.000345236,0.001549601
ASAP1-IT2,1.298,1.298,-2.045,0.000466187,0.002004489
LINC01833,1.298,1.298,-3.264,0.054242832,0.108389283
ADAMTS2,1.297,1.297,-2.851,0.007387305,0.020594355
OGN,1.297,1.297,-1.999,0.014043208,0.035410295
EXD1,1.296,1.296,-1.789,0.004774516,0.01430701
MIR7-3HG,1.296,1.296,-2.86,0.017137929,0.041834849
MIR130B,1.296,1.296,-0.431,0.047932328,0.098196003
OR9Q1,1.296,1.296,-3.196,0.072918764,0.137522123
MIR2278,1.296,1.296,-3.596,0.191248178,0.296556637
OR52I1,-1.296,1.296,-3.514,0.333038904,0.455919013
RGCC,-1.295,1.295,1.096,9.22993E-10,1.53892E-08
CPA4,-1.295,1.295,3.741,3.69562E-09,5.60121E-08
SESN1,-1.295,1.295,3.96,5.04697E-07,5.00293E-06
LOC613038,1.295,1.295,-0.233,1.75742E-05,0.000116774
BMP4,1.295,1.295,-1.507,0.000433637,0.001883982
GPRC5B,1.295,1.295,-1.933,0.004152587,0.012748538
DNAH1,1.294,1.294,1.469,1.14858E-06,1.04337E-05
DBET,1.294,1.294,-2.443,0.017116945,0.041810852
LINC01711,-1.294,1.294,-3.281,0.303329767,0.424389968
SOX9-AS1,1.293,1.293,-0.655,3.83522E-06,3.05892E-05
WDR72,1.293,1.293,-1.247,0.003064471,0.009876367
NDUFC2-KCTD14,1.293,1.293,0.544,0.038579795,0.082117606
CCDC65,1.292,1.292,-0.377,6.18449E-07,5.99059E-06
PRICKLE4,1.292,1.292,-0.951,0.000144686,0.000733441
RNY3,1.292,1.292,3.882,0.000489931,0.002092582
GDNF-AS1,1.292,1.292,-2.245,0.003892272,0.012093518
IGF2BP1,1.291,1.291,-1.568,0.000750332,0.00300507
MXD1,1.29,1.29,4.685,4.95471E-17,2.37615E-15
NRG2,1.29,1.29,-1.84,0.002888848,0.009386879
SIGLEC9,1.29,1.29,-3.077,0.041937069,0.088104666
MDC1,1.289,1.289,2.13,1.11265E-06,1.014E-05
NR4A1,1.289,1.289,-0.644,0.000174435,0.000862572
ALAS2,1.289,1.289,-3.373,0.082058273,0.151153808
CCDC7,1.288,1.288,-0.694,2.39003E-06,1.99468E-05
PCDHB11,1.288,1.288,-1.785,4.19832E-05,0.000250142
ANGPT1,1.288,1.288,-3.022,0.032747126,0.071815106
LINC00632,-1.288,1.288,-3.275,0.126678594,0.213827762
CNTD1,1.287,1.287,-1.022,8.69522E-06,6.26435E-05
LINC01289,1.287,1.287,-2.458,0.003691265,0.011564833
NUDT10,-1.287,1.287,-1.764,0.004329918,0.013196275
TNFSF13,1.286,1.286,2.386,1.96665E-09,3.1305E-08
WFDC1,1.286,1.286,-0.577,1.19484E-07,1.35523E-06
PLXDC2,-1.286,1.286,1.228,1.88805E-06,1.61898E-05
SLC10A1,1.286,1.286,-1.241,0.000307653,0.001401605
IFI16,1.285,1.285,6.252,7.5554E-20,5.10318E-18
SUSD2,1.285,1.285,-2.083,0.0040778,0.01257403
LINC01450,1.285,1.285,-3.499,0.105579654,0.185136232
THSD7B,1.285,1.285,-2.843,0.145458043,0.238928087
MMP25,1.284,1.284,-0.264,0.000220334,0.001051729
LINC00426,1.283,1.283,-1.198,3.4188E-05,0.000209126
MIR3939,1.283,1.283,-2.905,0.025502133,0.058309847
IGFBP2,-1.282,1.282,6.295,6.4108E-12,1.52584E-10
HPD,1.282,1.282,-1.627,7.95709E-05,0.000435452
ALOX15,1.282,1.282,-3.13,0.087646052,0.159171175
SNORD114-14,-1.282,1.282,-3.513,0.485418896,0.605011737
CACNA1E,-1.281,1.281,-1.904,0.15658016,0.253257655
AQP1,1.281,1.281,-3.56,0.193937526,0.299673182
37134,-1.28,1.28,3.823,6.59415E-08,7.91861E-07
ASB4,1.28,1.28,-0.911,7.18968E-06,5.30372E-05
FOXN2,1.279,1.279,4.99,1.48721E-18,8.59904E-17
PSG9,1.279,1.279,-2.15,0.00200861,0.006931215
ADAR,1.278,1.278,8.194,4.14627E-28,5.20994E-26
MUC15,1.278,1.278,-1.27,0.0003593,0.001603446
NYAP1,-1.278,1.278,-0.714,0.000780298,0.003106278
MIR3150B,1.278,1.278,-1.782,0.000977448,0.003760007
SNORA44,1.278,1.278,-1.959,0.011789994,0.030543715
SYNJ2-IT1,1.278,1.278,-3.287,0.033618642,0.073419797
ANGPT2,1.277,1.277,-0.257,3.14572E-05,0.000195075
C1QL4,1.277,1.277,-2.956,0.024045187,0.055503319
CLDN9,1.277,1.277,-3.443,0.096919188,0.172996812
CTSV,-1.276,1.276,4.827,9.03026E-09,1.27822E-07
PRMT5-AS1,1.276,1.276,-0.452,8.39241E-06,6.08518E-05
PAQR9-AS1,1.276,1.276,-1.817,0.00013748,0.000700541
LOC101927666,1.276,1.276,-1.636,0.000255018,0.001191497
LOC101927027,1.275,1.275,2.337,6.57353E-15,2.32106E-13
RNU5F-1,1.275,1.275,2.361,1.35339E-05,9.26647E-05
ABCA6,1.274,1.274,-0.391,1.23687E-06,1.11636E-05
MSH5,1.274,1.274,-2.44,0.055737369,0.110697122
TAS2R43,1.274,1.274,-3.359,0.058307898,0.114678317
LOC105371458,1.274,1.274,-3.597,0.115386717,0.198652492
LINC00548,1.273,1.273,0.136,0.002940726,0.00952929
PNMA2,1.272,1.272,-0.757,0.002181925,0.007425611
LINC01744,1.272,1.272,-3.196,0.05260668,0.105730448
CLIC5,1.272,1.272,-3.414,0.184342586,0.287852919
NEUROD2,1.271,1.271,-0.237,1.29232E-06,1.15989E-05
LRAT,1.271,1.271,0.104,0.000165592,0.000823275
ANKRD19P,1.271,1.271,-1.91,0.000815729,0.003222228
NAT8L,1.271,1.271,-2.81,0.037372866,0.08007149
NREP-AS1,1.271,1.271,-3.625,0.235432432,0.348480833
GIMAP6,-1.271,1.271,-3.585,0.30124843,0.422386458
NCF1,1.27,1.27,0.543,1.45778E-06,1.29445E-05
BPESC1,1.27,1.27,-3.396,0.040112805,0.084834716
BIRC6-AS2,1.269,1.269,-1.62,9.3368E-05,0.000500109
CABP7,1.269,1.269,-1.647,0.000781902,0.003109911
LOC101929718,1.269,1.269,-2.785,0.007486734,0.020830234
TNFSF12,1.268,1.268,0.88,3.9753E-06,3.16168E-05
USP26,1.268,1.268,-1.692,0.009837334,0.02619407
RNU12,1.268,1.268,-0.197,0.010601626,0.027905415
AGPAT1,1.268,1.268,-3.495,0.099707574,0.176737549
HOXB-AS3,-1.268,1.268,-3.194,0.146715785,0.240625014
KCNAB3,1.267,1.267,-0.809,2.03637E-05,0.000133145
GATAD2B,-1.267,1.267,0.295,0.232107204,0.344727631
NXNL2,1.266,1.266,0.024,1.38087E-08,1.89266E-07
CAVIN2,1.266,1.266,2.323,2.75646E-07,2.90799E-06
DMRT1,1.266,1.266,-2.688,0.004376937,0.013314317
KIF19,1.266,1.266,-2.418,0.006398082,0.018294642
OSCAR,-1.266,1.266,-2.129,0.048891836,0.099752533
GALR2,1.265,1.265,-2.758,0.012787773,0.032751378
CCDC8,-1.264,1.264,5.522,5.14259E-12,1.23444E-10
CUBN,1.264,1.264,0.078,0.000388839,0.001717886
LOC729558,1.264,1.264,-2.407,0.011435261,0.029779078
NOMO1,1.264,1.264,1.033,0.012322727,0.031697481
WNT9B,1.264,1.264,-3.115,0.017572489,0.042757831
MIR141,-1.263,1.263,-2.739,0.09484698,0.169875638
CCDC85A,-1.263,1.263,-3.108,0.198261072,0.304775969
HLA-A,1.262,1.262,-0.289,0.000148406,0.000751111
GOLT1A,1.262,1.262,-2.271,0.004581907,0.013816363
RORB,1.262,1.262,-2.336,0.073400875,0.138199606
LINC02020,1.261,1.261,-2.033,0.000291335,0.001337288
RRS1-AS1,1.261,1.261,-2.392,0.001970756,0.00681523
APOBR,1.261,1.261,-3.119,0.019998627,0.047634134
LINC00243,1.261,1.261,-3.594,0.211949998,0.321303455
KCNA7,1.26,1.26,-1.015,8.64085E-06,6.22916E-05
TAS2R5,1.26,1.26,-1.836,0.004233713,0.012936378
LOC101929460,1.26,1.26,-2.876,0.013893174,0.035083111
SPIN2A,-1.26,1.26,-2.066,0.038001936,0.081064069
LOC441155,1.26,1.26,-3.71,0.299708992,0.420816196
NID2,1.259,1.259,-1.454,0.000291825,0.001339262
LINC01792,1.259,1.259,-1.894,0.000430714,0.001874541
LINC00595,1.259,1.259,-2.031,0.009863283,0.026250734
MS4A4E,1.259,1.259,-2.936,0.019195852,0.046068405
CCDC26,1.259,1.259,-3.435,0.141661035,0.234041428
MIR5192,1.259,1.259,-3.482,0.153805408,0.249541314
FGF5,1.258,1.258,3.344,6.96554E-17,3.27075E-15
MYBPC2,1.258,1.258,-2.838,0.202291042,0.309561173
CNGB3,1.257,1.257,-2.274,0.015730346,0.038978399
GZMB,1.257,1.257,-3.424,0.123212364,0.209059482
LOC102723373,1.256,1.256,-0.422,1.57889E-06,1.38396E-05
CRYBB3,1.256,1.256,-2.328,0.000910569,0.003541503
LOC284379,1.256,1.256,-2.623,0.006859219,0.019379694
MIR301A,1.256,1.256,-3.559,0.183220706,0.286500024
NPFFR1,1.255,1.255,-0.472,9.92118E-08,1.14847E-06
FLJ37035,-1.255,1.255,-0.891,0.000965255,0.003718829
HS6ST3,1.255,1.255,-2.72,0.006018323,0.017387813
DLGAP2,1.255,1.255,-3.17,0.041430726,0.087203808
MIR760,1.255,1.255,-3.237,0.07367807,0.138593891
TMEM106A,1.254,1.254,1.939,2.69297E-11,5.85221E-10
MEFV,1.254,1.254,-0.96,0.000602072,0.002504493
MLANA,1.254,1.254,-1.075,0.000938923,0.003634813
CCR7,1.254,1.254,-2.513,0.016107394,0.039785581
LOC105369738,1.254,1.254,-3.176,0.056653852,0.112150893
APLN,-1.253,1.253,3.691,1.15484E-10,2.23342E-09
LINC02324,1.253,1.253,-0.867,3.62836E-07,3.72984E-06
PMEL,1.253,1.253,0.907,4.35963E-06,3.42736E-05
PARM1,1.253,1.253,-3.329,0.049145534,0.10019773
HTRA1,-1.252,1.252,7.166,8.96821E-10,1.49861E-08
ZNF208,1.252,1.252,-1.445,0.000159032,0.000793818
OR7A5,1.252,1.252,-2.535,0.003159584,0.010134822
LOC105370105,1.252,1.252,-2.425,0.004850902,0.014501128
LOC440895,1.252,1.252,-2.976,0.025613522,0.058516947
OCM,1.252,1.252,-3.716,0.162418843,0.260639599
SLC25A35,1.251,1.251,0.14,1.71614E-05,0.00011447
MIR195,1.251,1.251,-1.843,0.002827793,0.009211513
MIRLET7A1,1.251,1.251,-3.334,0.057014336,0.112695882
NWD2,1.251,1.251,-2.718,0.057576154,0.113590738
PTGER4,1.25,1.25,3.574,1.17972E-14,4.02644E-13
IL23A,1.25,1.25,0.367,6.39086E-10,1.09394E-08
PLEKHD1,1.25,1.25,-1.353,9.17383E-06,6.565E-05
SNORA63,1.25,1.25,5.544,1.71482E-05,0.00011445
LOC254028,1.25,1.25,-1.692,0.000211931,0.001018756
LINC00189,1.25,1.25,-2.93,0.009466602,0.025390271
FAM149A,1.249,1.249,-1.002,0.0001477,0.000747709
LOC100507506,1.249,1.249,-2.846,0.016021698,0.039605584
MIR603,1.249,1.249,-3.656,0.292348293,0.41252984
LOC101927257,1.248,1.248,-0.504,6.4877E-07,6.25734E-06
IMPG2,1.248,1.248,-0.739,5.09408E-06,3.93597E-05
DNAJC3-AS1,1.248,1.248,0.106,5.55389E-05,0.000318831
GNRHR,1.248,1.248,-2.392,0.003245338,0.010368485
SKOR1,1.248,1.248,-2.774,0.014089161,0.035514223
EBI3,-1.248,1.248,-2.986,0.070485517,0.133921292
LOC101928009,1.248,1.248,-3.596,0.159699511,0.257266968
DUSP8,1.247,1.247,-1.41,0.002684461,0.008815725
FAM47E,1.246,1.246,0.883,1.90067E-10,3.58339E-09
MDGA1,-1.246,1.246,-0.596,0.013846779,0.035001322
LINC01505,1.245,1.245,-2.398,0.005266936,0.015530141
C7orf61,1.245,1.245,-2.268,0.013271878,0.033783509
MIR1910,1.245,1.245,-3.164,0.044486069,0.092492205
BTG2,-1.244,1.244,5.598,2.276E-06,1.90871E-05
SAMD15,1.244,1.244,-0.687,6.21878E-06,4.69057E-05
NEXN-AS1,1.244,1.244,-1.435,1.63329E-05,0.000109529
LOC101928251,1.244,1.244,-1.608,3.50702E-05,0.000213595
PLAC9,1.244,1.244,-2.266,0.001204098,0.004491779
EPX,1.244,1.244,-2.494,0.00220572,0.007487331
TMEM190,1.244,1.244,-3.216,0.10072186,0.178142334
MMEL1,1.243,1.243,-3.28,0.042414984,0.088942553
ZSWIM8-AS1,1.243,1.243,-2.672,0.050126439,0.101809496
SGK494,1.242,1.242,0.811,3.5764E-10,6.41982E-09
GPR156,1.242,1.242,-0.743,1.55728E-07,1.72799E-06
TAPBP,1.242,1.242,2.307,0.001331029,0.004890153
NLRP14,1.242,1.242,-2.447,0.007925355,0.021872034
CBSL,1.242,1.242,-1.578,0.061862934,0.120493755
MICB,1.242,1.242,-2.8,0.205942012,0.313909443
ZCCHC2,1.241,1.241,3.705,2.64406E-19,1.71384E-17
LOC644669,1.241,1.241,0.615,2.22289E-06,1.87326E-05
LRRC71,1.241,1.241,-2.229,0.009253529,0.024909121
PIK3CG,1.241,1.241,-2.736,0.014005745,0.035327714
CBFA2T3,-1.241,1.241,-1.172,0.016514152,0.040554243
OCLM,1.241,1.241,-2.919,0.020987347,0.049590021
FCRL1,1.24,1.24,-1.906,6.15269E-05,0.000348687
SNORA71A,1.24,1.24,2.715,0.00011251,0.000587548
LRRC2,1.24,1.24,-1.325,0.000357275,0.001594726
NKX3-1,1.239,1.239,2.698,2.57439E-15,9.74802E-14
LOC101928445,1.239,1.239,-0.595,1.14474E-05,8.01101E-05
PLA2G4D,1.239,1.239,-1.15,0.000228733,0.001084456
NCAM2,-1.239,1.239,-2.12,0.4439144,0.566488754
LINC01205,1.238,1.238,-2.01,0.000234146,0.00110646
LOC100505824,1.238,1.238,-2.484,0.005625929,0.016433556
BBOX1,-1.238,1.238,-0.275,0.01611503,0.039800071
SDR16C6P,1.238,1.238,-2.831,0.050806364,0.102891057
HLX,1.238,1.238,-2.772,0.056869221,0.112459815
STK19,-1.237,1.237,2.452,3.53854E-07,3.64585E-06
GJB2,-1.237,1.237,9.02,7.46614E-07,7.07067E-06
LOC100506321,1.237,1.237,-2.32,0.002721035,0.008917906
GPR22,1.237,1.237,-1.085,0.007166102,0.020099758
LOC100507283,1.236,1.236,0.509,1.24415E-11,2.84974E-10
KATNAL2,1.236,1.236,-0.265,4.7526E-07,4.75302E-06
LOC729732,1.236,1.236,-0.327,9.27019E-06,6.62341E-05
FLJ16779,1.236,1.236,-3.048,0.026212243,0.059673793
LOC653653,1.236,1.236,-2.204,0.085935377,0.156786056
FAIM2,1.235,1.235,-2.896,0.184544148,0.288147656
DUXA,1.234,1.234,-3.32,0.076510521,0.142929788
SDR9C7,-1.234,1.234,-1.994,0.079865241,0.148004366
MLN,1.234,1.234,-3.688,0.213226525,0.322819948
GTPBP1,1.233,1.233,5.569,1.14374E-08,1.58894E-07
AS3MT,-1.233,1.233,1.73,0.000656388,0.00268378
ADH7,-1.233,1.233,-0.517,0.01917393,0.046025618
NOXA1,-1.232,1.232,-1.472,0.003846185,0.01197348
RNF175,1.231,1.231,-2.19,0.008037367,0.022124153
ABCD1,1.23,1.23,2.105,8.4254E-09,1.20091E-07
ARMCX4,1.23,1.23,0.235,5.47466E-07,5.38182E-06
GNL1,-1.23,1.23,3.822,0.001168653,0.004374327
AMZ1,1.23,1.23,-0.105,0.001320442,0.004859192
FAM159B,1.23,1.23,-3.401,0.10393412,0.182891586
NMUR2,1.23,1.23,-3.684,0.209891162,0.318762459
FAM138E,1.23,1.23,-3.612,0.29381648,0.414158186
PPP1R1A,-1.23,1.23,-2.666,0.561088572,0.674037502
WFDC12,1.229,1.229,-1.668,5.16247E-05,0.000299418
UBOX5-AS1,1.229,1.229,-1.711,0.030623346,0.068047847
MIR3136,1.229,1.229,-3.248,0.05012327,0.101809496
CSPG5,1.229,1.229,-1.785,0.057907989,0.114061344
LOC105373100,1.229,1.229,-3.228,0.08270352,0.152061438
GABRA1,-1.229,1.229,-1.945,0.085007626,0.155484388
SAA4,1.229,1.229,-2.757,0.085079117,0.155587691
GDAP1L1,-1.229,1.229,-2.365,0.217895391,0.328144901
FAM19A2,1.228,1.228,-0.717,8.7843E-07,8.19139E-06
SGO1-AS1,1.228,1.228,-0.738,2.13623E-06,1.807E-05
OLFML2A,-1.227,1.227,2.97,0.000343052,0.00154103
VNN1,1.226,1.226,0.02,4.77848E-07,4.77042E-06
SULT1C4,1.226,1.226,-2.612,0.026629642,0.060518733
TAS2R31,1.225,1.225,-3.066,0.045615177,0.094360026
SIM2,1.224,1.224,0.06,7.20836E-09,1.03863E-07
FLJ45513,1.224,1.224,-2.69,0.005589557,0.016354927
RASD2,-1.224,1.224,-1.567,0.052030995,0.104779403
IPCEF1,1.224,1.224,-2.184,0.062004032,0.120681438
UBAP1L,1.223,1.223,0.1,8.05094E-08,9.48568E-07
IL12RB2,1.223,1.223,0.542,1.75141E-05,0.000116409
UCA1,1.223,1.223,0.285,3.12816E-05,0.000194146
SPRR2D,1.222,1.222,2.85,6.35902E-09,9.22823E-08
GRIA3,-1.222,1.222,1.077,1.44567E-06,1.28471E-05
TAS2R30,1.222,1.222,-1.977,0.002457945,0.008192665
LOC101927950,1.222,1.222,-3.163,0.034604114,0.075105253
MIR944,1.222,1.222,-2.978,0.06084145,0.118902241
LINC00525,1.222,1.222,-3.566,0.170716095,0.271264318
MIR6817,1.222,1.222,-3.729,0.301066827,0.422169268
LOC102723385,1.221,1.221,-2.344,0.004264784,0.013020705
RHCG,-1.22,1.22,6.641,5.54677E-07,5.44082E-06
SNORA49,1.22,1.22,1.645,3.58172E-06,2.87612E-05
LINC00499,1.22,1.22,-3.092,0.036922754,0.079242995
MIR210,-1.22,1.22,-2.785,0.061256683,0.119474966
FRG2,1.22,1.22,-3.534,0.107028138,0.18714739
C2orf70,1.22,1.22,-3.448,0.15032597,0.245272405
CXCL16,1.219,1.219,3.566,3.81533E-11,8.03506E-10
LINC00184,1.219,1.219,-1.242,5.93143E-05,0.000338292
LINC01546,-1.219,1.219,-2.019,0.024504091,0.056337117
SNORA5B,1.219,1.219,-3.75,0.442647844,0.565286052
PLEKHH2,1.218,1.218,1.319,1.67236E-07,1.84658E-06
LINC01238,1.218,1.218,-1.252,3.73857E-05,0.000226164
FAM183BP,1.218,1.218,-3.594,0.11980569,0.204622187
LINC00894,1.217,1.217,0.253,6.57077E-05,0.000369105
LOC339260,1.217,1.217,-1.193,0.00112683,0.004250672
NLRP2,-1.217,1.217,-1.337,0.02874528,0.06466035
TAS2R19,1.217,1.217,-3.46,0.094492621,0.169352868
