adj.P.Val,P.Value,t,B,logFC,adjLFC,GENE_SYMBOL,Gene.title
0.0702,0.0167,-2.41,-4.016995,-0.177,0.177,C5AR1,complement component 5a receptor 1
0.0702,0.0167,2.41,-4.017062,0.112,0.112,KRI1,KRI1 homolog
0.0702,0.0167,-2.41,-4.017583,-0.133,0.133,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha
0.0703,0.0167,-2.41,-4.017735,-0.107,0.107,CALU,calumenin
0.0703,0.0168,-2.41,-4.018941,-0.0862,0.0862,PSMD14,"proteasome 26S subunit, non-ATPase 14"
0.0703,0.0168,2.41,-4.018513,0.136,0.136,SUSD4,sushi domain containing 4
0.0704,0.0168,2.41,-4.020328,0.102,0.102,RAB11FIP5,RAB11 family interacting protein 5
0.0705,0.0168,-2.41,-4.021654,-0.332,0.332,NEURL1B,neuralized E3 ubiquitin protein ligase 1B
0.0705,0.0168,2.41,-4.021393,0.198,0.198,OSMR,oncostatin M receptor
0.0705,0.0168,2.41,-4.022265,0.0616,0.0616,YTHDF3,YTH N6-methyladenosine RNA binding protein 3
0.0707,0.0169,2.41,-4.025373,0.0679,0.0679,MRPS30,mitochondrial ribosomal protein S30
0.0707,0.0169,2.41,-4.025484,0.0848,0.0848,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing"
0.0708,0.0169,2.41,-4.027011,0.162,0.162,BTBD11,BTB domain containing 11
0.0708,0.0169,2.41,-4.026048,0.0878,0.0878,KLHL11,kelch like family member 11
0.0708,0.0169,2.41,-4.026285,0.0653,0.0653,NDFIP1,Nedd4 family interacting protein 1
0.0709,0.017,2.41,-4.028925,0.102,0.102,IQSEC2,IQ motif and Sec7 domain 2
0.0709,0.0169,2.41,-4.027718,0.108,0.108,TMEM80,transmembrane protein 80
0.071,0.017,-2.41,-4.030379,-0.109,0.109,GEMIN6,gem nuclear organelle associated protein 6
0.071,0.017,-2.41,-4.030738,-0.136,0.136,IQCE,IQ motif containing E
0.071,0.017,-2.41,-4.029793,-0.176,0.176,UBXN11,UBX domain protein 11
0.0711,0.017,-2.41,-4.031938,-0.105,0.105,COX11,"COX11, cytochrome c oxidase copper chaperone"
0.0711,0.017,-2.41,-4.03183,-0.0758,0.0758,OXNAD1,oxidoreductase NAD binding domain containing 1
0.0711,0.017,-2.41,-4.031735,-0.067,0.067,RPL10A,ribosomal protein L10a
0.0711,0.017,2.41,-4.03234,0.137,0.137,SPRED1,sprouty related EVH1 domain containing 1
0.0712,0.0171,2.41,-4.033636,0.184,0.184,CHST10,carbohydrate sulfotransferase 10
0.0713,0.0171,2.41,-4.034311,0.17,0.17,RDH5,retinol dehydrogenase 5
0.0713,0.0171,-2.41,-4.035241,-0.234,0.234,TAGLN2,transgelin 2
0.0714,0.0171,-2.4,-4.037004,-0.18,0.18,ADSSL1,adenylosuccinate synthase like 1
0.0714,0.0171,2.41,-4.035839,0.0914,0.0914,GTF3C5,general transcription factor IIIC subunit 5
0.0714,0.0171,2.41,-4.035905,0.18,0.18,MT2A,metallothionein 2A
0.0714,0.0171,2.41,-4.035711,0.185,0.185,PITPNM2,phosphatidylinositol transfer protein membrane associated 2
0.0714,0.0171,2.41,-4.036035,0.267,0.267,SPDEF,SAM pointed domain containing ETS transcription factor
0.0714,0.0171,-2.41,-4.036804,-0.11,0.11,TRAPPC2L,trafficking protein particle complex 2 like
0.0715,0.0171,-2.4,-4.037658,-0.1,0.1,ZNF627,zinc finger protein 627
0.0716,0.0172,-2.4,-4.039512,-0.113,0.113,ARMT1,acidic residue methyltransferase 1
0.0716,0.0172,2.4,-4.03932,0.069,0.069,PTPN12,"protein tyrosine phosphatase, non-receptor type 12"
0.0716,0.0172,-2.4,-4.040681,-0.112,0.112,SSR1,signal sequence receptor subunit 1
0.0718,0.0172,-2.4,-4.042789,-0.127,0.127,TMEM65,transmembrane protein 65
0.0718,0.0172,2.4,-4.043522,0.0941,0.0941,TTC13,tetratricopeptide repeat domain 13
0.0719,0.0173,-2.4,-4.043904,-0.0996,0.0996,GAS2,growth arrest specific 2
0.0719,0.0173,-2.4,-4.045352,-0.122,0.122,PYCR2,pyrroline-5-carboxylate reductase family member 2
0.0719,0.0173,2.4,-4.04533,0.123,0.123,UBR4,ubiquitin protein ligase E3 component n-recognin 4
0.0722,0.0173,-2.4,-4.048369,-0.175,0.175,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha
0.0722,0.0174,-2.4,-4.049438,-0.0747,0.0747,RIDA,reactive intermediate imine deaminase A homolog
0.0723,0.0174,2.4,-4.050702,0.125,0.125,KCTD10,potassium channel tetramerization domain containing 10
0.0723,0.0174,-2.4,-4.05067,-0.102,0.102,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8
0.0723,0.0174,2.4,-4.051323,0.117,0.117,NOD2,nucleotide binding oligomerization domain containing 2
0.0724,0.0174,-2.4,-4.053003,-0.232,0.232,CDIPT-AS1,CDIPT antisense RNA 1 (head to head)
0.0724,0.0174,2.4,-4.051576,0.0961,0.0961,IKBKG,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma"
0.0724,0.0174,2.4,-4.052043,0.0627,0.0627,NDUFAF5,NADH:ubiquinone oxidoreductase complex assembly factor 5
0.0724,0.0174,2.4,-4.05249,0.131,0.131,SYNJ1,synaptojanin 1
0.0725,0.0174,-2.4,-4.053615,-0.27,0.27,PCOLCE2,procollagen C-endopeptidase enhancer 2
0.0726,0.0175,-2.4,-4.055016,-0.102,0.102,AQR,aquarius intron-binding spliceosomal factor
0.0726,0.0175,-2.4,-4.05526,-0.115,0.115,CAHM,colon adenocarcinoma hypermethylated (non-protein coding)
0.0726,0.0175,2.4,-4.05689,0.0819,0.0819,EPN2,epsin 2
0.0726,0.0175,-2.4,-4.056323,-0.188,0.188,LINC00842,long intergenic non-protein coding RNA 842
0.0726,0.0175,2.4,-4.0558,0.0754,0.0754,MED17,mediator complex subunit 17
0.0726,0.0175,-2.4,-4.05513,-0.115,0.115,PASK,PAS domain containing serine/threonine kinase
0.0726,0.0175,-2.4,-4.056927,-0.209,0.209,PPIH,peptidylprolyl isomerase H
0.0728,0.0176,2.4,-4.059365,0.148,0.148,GRN,granulin
0.0728,0.0176,2.4,-4.059165,0.0941,0.0941,TBC1D5,TBC1 domain family member 5
0.0729,0.0176,-2.39,-4.060348,-0.124,0.124,LINC01420,long intergenic non-protein coding RNA 1420
0.0729,0.0176,-2.4,-4.060116,-0.253,0.253,PCDHB9,protocadherin beta 9
0.0729,0.0176,2.4,-4.059931,0.355,0.355,RPA4,replication protein A4
0.0729,0.0176,2.39,-4.061074,0.0962,0.0962,SYNGR2,synaptogyrin 2
0.0729,0.0176,2.39,-4.06161,0.0762,0.0762,WAC,WW domain containing adaptor with coiled-coil
0.073,0.0176,-2.39,-4.062654,-0.486,0.486,CLDN5,claudin 5
0.0731,0.0177,2.39,-4.063834,0.169,0.169,PNPLA7,patatin like phospholipase domain containing 7
0.0732,0.0177,-2.39,-4.065154,-0.23,0.23,CDC42EP3,CDC42 effector protein 3
0.0732,0.0177,2.39,-4.066088,0.154,0.154,RNF183,ring finger protein 183
0.0733,0.0177,-2.39,-4.067377,-0.11,0.11,COX7A2L,cytochrome c oxidase subunit 7A2 like
0.0733,0.0177,2.39,-4.067811,0.145,0.145,ITGB7,integrin subunit beta 7
0.0733,0.0177,-2.39,-4.066964,-0.0845,0.0845,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2
0.0734,0.0177,-2.39,-4.068253,-0.0925,0.0925,ADIPOR1,adiponectin receptor 1
0.0734,0.0178,-2.39,-4.068596,-0.105,0.105,NDFIP2,Nedd4 family interacting protein 2
0.0734,0.0178,-2.39,-4.068865,-0.0772,0.0772,NR2C1,nuclear receptor subfamily 2 group C member 1
0.0735,0.0178,-2.39,-4.070156,-0.105,0.105,C5orf30,chromosome 5 open reading frame 30
0.0735,0.0178,-2.39,-4.070779,-0.0686,0.0686,CLCC1,chloride channel CLIC like 1
0.0735,0.0178,-2.39,-4.070626,-0.0478,0.0478,PPM1A,"protein phosphatase, Mg2+/Mn2+ dependent 1A"
0.0735,0.0178,2.39,-4.070495,0.299,0.299,SOWAHC,sosondowah ankyrin repeat domain family member C
0.0735,0.0178,2.39,-4.071289,0.149,0.149,TNS3,tensin 3
0.0736,0.0178,-2.39,-4.072987,-0.107,0.107,OSBPL1A,oxysterol binding protein like 1A
0.0736,0.0178,-2.39,-4.07274,-0.157,0.157,TMEM47,transmembrane protein 47
0.0738,0.0179,-2.39,-4.075163,-0.0809,0.0809,EIF3I,eukaryotic translation initiation factor 3 subunit I
0.0738,0.0179,2.39,-4.075591,0.169,0.169,PRSS27,"protease, serine 27"
0.0739,0.0179,-2.39,-4.077485,-0.164,0.164,DOCK11,dedicator of cytokinesis 11
0.0739,0.0179,-2.39,-4.076316,-0.307,0.307,LGSN,"lengsin, lens protein with glutamine synthetase domain"
0.074,0.0179,-2.39,-4.078265,-0.189,0.189,HMGA2,high mobility group AT-hook 2
0.074,0.0179,-2.39,-4.078116,-0.173,0.173,MSN,moesin
0.074,0.018,-2.39,-4.079275,-0.0723,0.0723,TCTA,T-cell leukemia translocation altered
0.0741,0.018,2.39,-4.081145,0.252,0.252,APOL4,apolipoprotein L4
0.0741,0.018,2.39,-4.079997,0.104,0.104,MYBBP1A,MYB binding protein 1a
0.0741,0.018,2.39,-4.080542,0.0946,0.0946,TARBP2,"TARBP2, RISC loading complex RNA binding subunit"
0.0741,0.018,2.39,-4.08113,0.211,0.211,TCF19,transcription factor 19
0.0742,0.018,2.39,-4.082416,0.138,0.138,MUSTN1,"musculoskeletal, embryonic nuclear protein 1"
0.0742,0.018,-2.39,-4.08214,-0.107,0.107,NUP107,nucleoporin 107
0.0742,0.018,-2.39,-4.08287,-0.152,0.152,ZCRB1,zinc finger CCHC-type and RNA binding motif containing 1
0.0743,0.0181,-2.38,-4.083686,-0.102,0.102,GOLT1B,golgi transport 1B
0.0745,0.0181,-2.38,-4.086793,-0.115,0.115,BORCS8,BLOC-1 related complex subunit 8
0.0745,0.0181,-2.38,-4.086171,-0.589,0.589,COL1A2,collagen type I alpha 2 chain
0.0745,0.0181,-2.39,-3.905501,-0.283,0.283,HNF1B,HNF1 homeobox B
0.0745,0.0181,-2.38,-4.086109,-0.163,0.163,MYO1E,myosin IE
0.0745,0.0181,-2.38,-4.086623,-0.105,0.105,SPATA32,spermatogenesis associated 32
0.0745,0.0181,2.38,-4.086413,0.111,0.111,ZNF561,zinc finger protein 561
0.0747,0.0182,2.38,-4.089274,0.174,0.174,TMPO,thymopoietin
0.0747,0.0182,-2.38,-4.089236,-0.0958,0.0958,ZNF12,zinc finger protein 12
0.0748,0.0182,-2.38,-4.092228,-0.15,0.15,HAUS6,HAUS augmin like complex subunit 6
0.0748,0.0182,-2.38,-4.091212,-0.0977,0.0977,WDTC1,WD and tetratricopeptide repeats 1
0.0748,0.0182,2.38,-4.091428,0.199,0.199,ZNF431,zinc finger protein 431
0.075,0.0183,2.38,-4.0945,0.104,0.104,TECPR1,tectonin beta-propeller repeat containing 1
0.0751,0.0183,-2.38,-4.095445,-0.0831,0.0831,C9orf50,chromosome 9 open reading frame 50
0.0753,0.0184,2.38,-4.098865,0.168,0.168,BBC3,BCL2 binding component 3
0.0753,0.0184,-2.38,-4.098946,-0.0641,0.0641,MRPL20,mitochondrial ribosomal protein L20
0.0754,0.0184,2.38,-4.099953,0.0962,0.0962,ADNP,activity dependent neuroprotector homeobox
0.0754,0.0184,-2.38,-4.099371,-0.107,0.107,HADHA,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit"
0.0754,0.0184,-2.38,-4.100562,-0.0588,0.0588,PSMC1,"proteasome 26S subunit, ATPase 1"
0.0754,0.0184,-2.38,-4.099416,-0.176,0.176,UGT2B15,UDP glucuronosyltransferase family 2 member B15
0.0756,0.0185,-2.38,-4.102408,-0.293,0.293,DSC2,desmocollin 2
0.0756,0.0185,2.38,-4.102955,0.369,0.369,EVPLL,envoplakin like
0.0757,0.0185,-2.38,-4.104143,-0.101,0.101,FAM188A,family with sequence similarity 188 member A
0.0757,0.0185,2.38,-4.10345,0.106,0.106,MAU2,MAU2 sister chromatid cohesion factor
0.0759,0.0185,2.37,-4.106513,0.115,0.115,FHL3,four and a half LIM domains 3
0.0759,0.0186,-2.37,-4.107183,-0.0871,0.0871,INF2,"inverted formin, FH2 and WH2 domain containing"
0.0759,0.0185,2.37,-4.10665,0.0954,0.0954,STK24,serine/threonine kinase 24
0.0761,0.0186,2.37,-4.110133,0.0824,0.0824,UBE2I,ubiquitin conjugating enzyme E2 I
0.0762,0.0186,2.37,-4.111183,0.122,0.122,BLZF1,basic leucine zipper nuclear factor 1
0.0762,0.0186,2.37,-4.111417,0.328,0.328,CATSPERB,cation channel sperm associated auxiliary subunit beta
0.0762,0.0186,-2.37,-4.11042,-0.58,0.58,CSF2,colony stimulating factor 2
0.0762,0.0186,-2.37,-4.110584,-0.0852,0.0852,LYRM5,LYR motif containing 5
0.0763,0.0187,-2.37,-4.112193,-0.334,0.334,LGALS1,galectin 1
0.0764,0.0187,2.37,-4.114425,0.146,0.146,CLEC2D,C-type lectin domain family 2 member D
0.0764,0.0187,-2.37,-4.113798,-0.112,0.112,RIT1,Ras like without CAAX 1
0.0764,0.0187,2.37,-4.113915,0.148,0.148,SHROOM1,shroom family member 1
0.0765,0.0187,2.37,-4.115315,0.119,0.119,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2
0.0765,0.0187,-2.37,-4.11549,-0.0858,0.0858,SLC25A4,solute carrier family 25 member 4
0.0766,0.0188,2.37,-4.117548,0.132,0.132,LIPH,lipase H
0.0766,0.0188,2.37,-4.117588,0.103,0.103,SDSL,serine dehydratase like
0.0768,0.0188,-2.37,-4.119919,-0.215,0.215,FBXO22,F-box protein 22
0.0769,0.0189,2.37,-4.121693,0.101,0.101,ACOT11,acyl-CoA thioesterase 11
0.0769,0.0189,2.37,-4.12143,0.113,0.113,C14orf93,chromosome 14 open reading frame 93
0.0769,0.0188,2.37,-4.120872,0.0617,0.0617,RBMS1,RNA binding motif single stranded interacting protein 1
0.0769,0.0189,2.37,-4.121497,0.0923,0.0923,RIOK3,RIO kinase 3
0.0769,0.0188,2.37,-4.120535,0.157,0.157,SREBF2,sterol regulatory element binding transcription factor 2
0.0769,0.0188,2.37,-4.120853,0.111,0.111,SSH3,slingshot protein phosphatase 3
0.0769,0.0189,2.37,-4.121002,0.0972,0.0972,ZNF419,zinc finger protein 419
0.077,0.0189,-2.37,-4.122837,-0.0899,0.0899,CXorf23,chromosome X open reading frame 23
0.077,0.0189,-2.37,-4.12273,-0.0889,0.0889,GPN3,GPN-loop GTPase 3
0.0771,0.0189,-2.37,-4.123717,-0.12,0.12,TBPL1,TATA-box binding protein like 1
0.0772,0.019,-2.37,-4.125769,-0.0649,0.0649,PPT1,palmitoyl-protein thioesterase 1
0.0772,0.019,-2.41,-3.579032,-0.618,0.618,SLC6A2,solute carrier family 6 member 2
0.0773,0.019,2.37,-3.94687,0.366,0.366,FRG2,FSHD region gene 2
0.0773,0.019,2.37,-4.127718,0.211,0.211,LNX1,ligand of numb-protein X 1
0.0773,0.019,-2.37,-4.127036,-0.0923,0.0923,NEDD8,"neural precursor cell expressed, developmentally down-regulated 8"
0.0773,0.019,-2.37,-4.128186,-0.0762,0.0762,TCTN3,tectonic family member 3
0.0775,0.0191,2.4,-3.661326,0.41,0.41,CREB3L3,cAMP responsive element binding protein 3 like 3
0.0776,0.0191,2.36,-4.132524,0.0712,0.0712,AAAS,aladin WD repeat nucleoporin
0.0776,0.0191,-2.36,-4.131541,-0.0835,0.0835,DCTN3,dynactin subunit 3
0.0776,0.0191,2.36,-4.131533,0.161,0.161,GUSBP3///SMA4,"glucuronidase, beta pseudogene 3///glucuronidase beta pseudogene"
0.0776,0.0191,-2.36,-4.131898,-0.155,0.155,SNAI3,snail family transcriptional repressor 3
0.0777,0.0191,-2.36,-4.133624,-0.568,0.568,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5
0.0777,0.0192,-2.36,-4.135307,-0.173,0.173,AFDN,"afadin, adherens junction formation factor"
0.0777,0.0191,-2.36,-4.134103,-0.101,0.101,ANAPC15,anaphase promoting complex subunit 15
0.0777,0.0191,-2.36,-4.13392,-0.391,0.391,MME,membrane metallo-endopeptidase
0.0777,0.0191,2.36,-4.133364,0.141,0.141,TNIP1,TNFAIP3 interacting protein 1
0.0777,0.0191,-2.36,-4.133708,-0.101,0.101,XRCC1,X-ray repair cross complementing 1
0.0777,0.0192,-2.36,-4.134929,-0.0875,0.0875,ZNHIT1,zinc finger HIT-type containing 1
0.0778,0.0192,2.36,-4.136002,0.13,0.13,MOAP1,modulator of apoptosis 1
0.0778,0.0192,2.36,-4.136347,0.0741,0.0741,SRSF1,serine and arginine rich splicing factor 1
0.0779,0.0192,-2.36,-4.138101,-0.148,0.148,C1QTNF4,C1q and tumor necrosis factor related protein 4
0.0779,0.0192,-2.36,-4.137902,-0.237,0.237,NINJ2,ninjurin 2
0.0779,0.0192,-2.36,-4.137947,-0.0774,0.0774,PWP1,"PWP1 homolog, endonuclein"
0.0779,0.0192,2.36,-4.138259,0.105,0.105,ZBTB45,zinc finger and BTB domain containing 45
0.078,0.0193,-2.36,-4.140195,-0.222,0.222,LINC00663,long intergenic non-protein coding RNA 663
0.078,0.0193,-2.36,-4.139853,-0.159,0.159,RSPH3,radial spoke 3 homolog
0.0781,0.0193,2.36,-4.140843,0.288,0.288,AQP5,aquaporin 5
0.0781,0.0193,-2.36,-4.141769,-0.144,0.144,ENKD1,enkurin domain containing 1
0.0781,0.0193,-2.37,-3.915471,-0.382,0.382,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1"
0.0781,0.0193,2.36,-4.141576,0.143,0.143,SEMA3F,semaphorin 3F
0.0782,0.0193,-2.36,-4.142883,-0.0762,0.0762,SLC25A46,solute carrier family 25 member 46
0.0782,0.0193,2.36,-4.142305,0.104,0.104,TIGD7,tigger transposable element derived 7
0.0782,0.0193,2.36,-4.142588,0.162,0.162,ZSWIM5,zinc finger SWIM-type containing 5
0.0783,0.0193,2.36,-4.143346,0.152,0.152,PIK3R3,phosphoinositide-3-kinase regulatory subunit 3
0.0784,0.0194,-2.36,-4.145796,-0.297,0.297,SPINK1,"serine peptidase inhibitor, Kazal type 1"
0.0785,0.0194,2.36,-4.146522,0.202,0.202,KCNG3,potassium voltage-gated channel modifier subfamily G member 3
0.0785,0.0194,2.36,-4.146791,0.0797,0.0797,RUNX1,runt related transcription factor 1
0.0787,0.0195,-2.36,-4.149717,-0.0982,0.0982,CTSO,cathepsin O
0.0787,0.0195,-2.36,-4.14921,-0.072,0.072,MED14,mediator complex subunit 14
0.0787,0.0195,2.36,-4.149938,0.232,0.232,PKN2-AS1,PKN2 antisense RNA 1
0.0787,0.0195,-2.36,-4.149452,-0.222,0.222,TMCO5A,transmembrane and coiled-coil domains 5A
0.0788,0.0195,2.36,-4.150568,0.121,0.121,LOC286161,uncharacterized LOC286161
0.0789,0.0195,2.36,-4.151659,0.106,0.106,ABHD17C,abhydrolase domain containing 17C
0.0789,0.0195,2.35,-4.151947,0.195,0.195,CYP2B6,cytochrome P450 family 2 subfamily B member 6
0.0789,0.0195,-2.35,-4.152364,-0.0907,0.0907,MDH1,malate dehydrogenase 1
0.079,0.0196,2.35,-4.153584,0.0985,0.0985,DGAT1,diacylglycerol O-acyltransferase 1
0.079,0.0196,2.35,-4.154401,0.079,0.079,GET4,golgi to ER traffic protein 4
0.079,0.0196,-2.35,-4.154189,-0.135,0.135,ZNF799,zinc finger protein 799
0.0791,0.0196,2.35,-4.155104,0.314,0.314,GAGE7,G antigen 7
0.0791,0.0196,-2.39,-3.685764,-0.251,0.251,UG0898H09,uncharacterized LOC643763
0.0792,0.0196,2.35,-4.156331,0.097,0.097,CAMKK2,calcium/calmodulin dependent protein kinase kinase 2
0.0792,0.0197,-2.35,-4.157333,-0.114,0.114,RMDN1,regulator of microtubule dynamics 1
0.0792,0.0196,-2.35,-4.156353,-0.092,0.092,TDRD3,tudor domain containing 3
0.0793,0.0197,-2.35,-4.157717,-0.0706,0.0706,TIMM8A,translocase of inner mitochondrial membrane 8 homolog A (yeast)
0.0795,0.0197,-2.35,-4.161008,-0.176,0.176,SMPD3,sphingomyelin phosphodiesterase 3
0.0795,0.0197,-2.35,-4.160564,-0.0796,0.0796,TRAPPC11,trafficking protein particle complex 11
0.0797,0.0198,2.35,-4.164267,0.0711,0.0711,HYI,hydroxypyruvate isomerase (putative)
0.0797,0.0198,2.35,-4.164314,0.123,0.123,NAPSB,"napsin B aspartic peptidase, pseudogene"
0.0798,0.0198,-2.35,-4.165607,-0.114,0.114,CD99,CD99 molecule
0.0798,0.0198,2.35,-4.164895,0.119,0.119,NAB2,NGFI-A binding protein 2
0.0799,0.0199,2.35,-4.167259,0.229,0.229,EEF1D,eukaryotic translation elongation factor 1 delta
0.08,0.0199,2.35,-4.168483,0.225,0.225,ERC2-IT1,ERC2 intronic transcript 1
0.08,0.0199,-2.35,-4.16841,-0.0849,0.0849,ERH,enhancer of rudimentary homolog (Drosophila)
0.08,0.0199,2.35,-4.167992,0.348,0.348,STK35,serine/threonine kinase 35
0.0801,0.0199,2.35,-4.170079,0.0861,0.0861,C12orf45,chromosome 12 open reading frame 45
0.0802,0.02,2.35,-4.170417,0.0943,0.0943,ABT1,activator of basal transcription 1
0.0802,0.02,-2.35,-4.171644,-0.248,0.248,C6orf99,chromosome 6 open reading frame 99
0.0802,0.02,-2.35,-4.171744,-0.238,0.238,NIPSNAP3B,nipsnap homolog 3B
0.0802,0.02,-2.35,-4.170567,-0.279,0.279,RBP1,retinol binding protein 1
0.0802,0.02,-2.36,-3.946712,-0.352,0.352,TDRD1,tudor domain containing 1
0.0802,0.02,-2.35,-4.171994,-0.124,0.124,TFPT,TCF3 fusion partner
0.0803,0.02,-2.35,-4.172433,-0.0798,0.0798,APTR,Alu-mediated CDKN1A/p21 transcriptional regulator (non-protein coding)
0.0803,0.02,-2.35,-4.172299,-0.16,0.16,MSRB1,methionine sulfoxide reductase B1
0.0803,0.02,-2.35,-4.173819,-0.102,0.102,NSF,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase"
0.0803,0.02,2.35,-4.17329,0.0888,0.0888,TRMT61A,tRNA methyltransferase 61A
0.0804,0.02,-2.34,-4.174658,-0.0626,0.0626,C8orf33,chromosome 8 open reading frame 33
0.0804,0.0201,2.34,-4.175341,0.24,0.24,LOC100507022,FLJ00291 protein
0.0804,0.0201,2.34,-4.175307,0.079,0.079,NOL3,nucleolar protein 3
0.0804,0.02,-2.35,-4.174604,-0.325,0.325,PLA1A,phospholipase A1 member A
0.0804,0.02,2.35,-4.174197,0.115,0.115,PTPN23,"protein tyrosine phosphatase, non-receptor type 23"
0.0805,0.0201,2.34,-4.176574,0.0853,0.0853,GCN1,"GCN1, eIF2 alpha kinase activator homolog"
0.0805,0.0201,2.34,-4.175787,0.184,0.184,GGTLC1,gamma-glutamyltransferase light chain 1
0.0805,0.0201,-2.39,-3.629448,-0.629,0.629,LRFN1,leucine rich repeat and fibronectin type III domain containing 1
0.0805,0.0201,2.34,-4.175985,0.108,0.108,TBC1D12,TBC1 domain family member 12
0.0806,0.0201,2.34,-4.178047,0.0986,0.0986,ADIPOR2,adiponectin receptor 2
0.0809,0.0202,2.34,-4.181869,0.0786,0.0786,BAHD1,bromo adjacent homology domain containing 1
0.0809,0.0202,-2.34,-4.180929,-0.194,0.194,C20orf96,chromosome 20 open reading frame 96
0.081,0.0202,-2.34,-4.182182,-0.127,0.127,PCDHA11,protocadherin alpha 11
0.081,0.0202,-2.38,-3.633268,-0.6,0.6,RADIL,Rap associating with DIL domain
0.081,0.0202,2.34,-4.18302,0.0695,0.0695,RNPS1,RNA binding protein with serine rich domain 1
0.081,0.0202,2.34,-4.18299,0.134,0.134,TP73-AS1,TP73 antisense RNA 1
0.081,0.0202,2.34,-4.182827,0.0723,0.0723,TTC31,tetratricopeptide repeat domain 31
0.0812,0.0203,-2.34,-4.186161,-0.104,0.104,LINC00849,long intergenic non-protein coding RNA 849
0.0813,0.0203,-2.35,-4.005953,-0.232,0.232,EGFEM1P,"EGF like and EMI domain containing 1, pseudogene"
0.0813,0.0203,2.34,-4.186816,0.171,0.171,NBPF19,neuroblastoma breakpoint family member 19
0.0813,0.0204,-2.34,-4.18777,-0.129,0.129,VAPA,VAMP associated protein A
0.0814,0.0204,2.34,-4.18823,0.308,0.308,DUSP5P1,dual specificity phosphatase 5 pseudogene 1
0.0814,0.0204,-2.34,-4.188856,-0.0953,0.0953,NUDT5,nudix hydrolase 5
0.0815,0.0204,2.34,-4.189874,0.142,0.142,MSANTD2,Myb/SANT DNA binding domain containing 2
0.0816,0.0205,-2.34,-4.191965,-0.123,0.123,CDS2,CDP-diacylglycerol synthase 2
0.0816,0.0204,2.34,-4.191704,0.244,0.244,LINC00152,long intergenic non-protein coding RNA 152
0.0817,0.0205,2.34,-4.193451,0.125,0.125,CD82,CD82 molecule
0.0817,0.0205,2.34,-4.192686,0.183,0.183,OSR1,odd-skipped related transciption factor 1
0.0818,0.0205,2.34,-4.194461,0.125,0.125,CCDC71,coiled-coil domain containing 71
0.0818,0.0205,-2.34,-4.194417,-0.0751,0.0751,PARK7,Parkinsonism associated deglycase
0.082,0.0206,-2.34,-4.19684,-0.0897,0.0897,CWC27,CWC27 spliceosome associated protein homolog
0.082,0.0206,2.34,-4.196409,0.128,0.128,FXYD5,FXYD domain containing ion transport regulator 5
0.0821,0.0206,-2.33,-4.1979,-0.08,0.08,SLC35A3,solute carrier family 35 member A3
0.0822,0.0206,2.33,-4.198981,0.112,0.112,FRAT2,frequently rearranged in advanced T-cell lymphomas 2
0.0822,0.0206,-2.33,-4.199521,-0.0797,0.0797,GSPT1,G1 to S phase transition 1
0.0822,0.0206,-2.33,-4.19934,-0.443,0.443,ITGB3,integrin subunit beta 3
0.0822,0.0206,-2.33,-4.200245,-0.0795,0.0795,NME6,NME/NM23 nucleoside diphosphate kinase 6
0.0822,0.0206,-2.33,-4.199472,-0.0901,0.0901,PCBD2,pterin-4 alpha-carbinolamine dehydratase 2
0.0824,0.0207,2.33,-4.202504,0.159,0.159,C1orf21,chromosome 1 open reading frame 21
0.0824,0.0207,2.33,-4.202978,0.2,0.2,SEPT7P2,septin 7 pseudogene 2
0.0824,0.0207,-2.33,-4.202284,-0.181,0.181,TMEM81,transmembrane protein 81
0.0825,0.0208,-2.33,-4.204604,-0.0801,0.0801,ARL17A,ADP ribosylation factor like GTPase 17A
0.0825,0.0207,-2.33,-4.204032,-0.628,0.628,COMP,cartilage oligomeric matrix protein
0.0826,0.0208,2.33,-4.20514,0.0837,0.0837,GGCX,gamma-glutamyl carboxylase
0.0826,0.0208,2.33,-4.205865,0.147,0.147,LOC105370792,uncharacterized LOC105370792
0.0826,0.0208,2.33,-4.205575,0.108,0.108,MYO9B,myosin IXB
0.0826,0.0208,2.33,-4.205449,0.179,0.179,PNPLA2,patatin like phospholipase domain containing 2
0.0826,0.0208,2.33,-4.206506,0.0971,0.0971,TMEM246,transmembrane protein 246
0.0827,0.0208,-2.33,-4.207784,-0.0878,0.0878,AMOT,angiomotin
0.0827,0.0208,-2.33,-4.206935,-0.0732,0.0732,VAMP7,vesicle associated membrane protein 7
0.0828,0.0209,-2.33,-4.20897,-0.106,0.106,ALG1,"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase"
0.0828,0.0209,2.33,-4.209954,0.112,0.112,CACTIN,"cactin, spliceosome C complex subunit"
