GENE_SYMBOL,Log_FoldChange,absLogFC,logCPM,PValue,FDR_adjusted_P.value
S100Z,2.929,2.929,-3.528,0.000238283,0.000741699
SSTR5-AS1,2.928,2.928,-2.39,2.21834E-09,2.07806E-08
LOC101929372,2.924,2.924,-0.168,9.18832E-18,3.03831E-16
GPR179,2.923,2.923,-3.135,4.67917E-08,3.43447E-07
LINC00924,2.923,2.923,-2.707,5.18618E-08,3.76393E-07
ITIH1,2.922,2.922,-2.586,4.6983E-08,3.4474E-07
CORIN,2.921,2.921,1.021,2.59548E-21,1.31522E-19
C1orf100,2.92,2.92,-2.667,1.72861E-07,1.13229E-06
GBX1,2.918,2.918,-3.589,0.000848404,0.002264576
ACSM6,2.917,2.917,-1.337,1.38864E-16,3.96287E-15
TRPV2,2.917,2.917,0.52,2.0675E-14,4.25736E-13
DMBT1P1,2.917,2.917,-2.691,1.35421E-09,1.31367E-08
CD8B,2.916,2.916,-3.499,0.000619896,0.001720776
MILR1,2.915,2.915,1.414,1.73659E-18,6.27359E-17
DLX2-AS1,2.915,2.915,-2.414,4.24074E-10,4.53202E-09
LINC01602,2.915,2.915,-2.914,1.36356E-08,1.11221E-07
KCNJ3,2.913,2.913,-0.499,1.77785E-11,2.37722E-10
ADH1C,2.913,2.913,-2.898,3.22527E-07,1.99279E-06
PCDH19,2.913,2.913,0.213,0.012180357,0.023404926
CPNE5,2.912,2.912,-0.836,8.61878E-19,3.27008E-17
ZNF878,2.912,2.912,-1.059,5.84886E-11,7.23553E-10
TM4SF20,2.912,2.912,-1.842,1.48257E-08,1.201E-07
ZDHHC11B,2.912,2.912,-2.5,3.89371E-07,2.37024E-06
ATP1A4,2.912,2.912,-0.874,7.29631E-07,4.19464E-06
RNF219-AS1,2.911,2.911,-2.952,0.000628909,0.001742218
MIR3663HG,2.909,2.909,-3.149,5.3763E-05,0.000198693
CSTL1,2.908,2.908,-3.471,0.000629337,0.00174268
LOC100996635,2.906,2.906,-2.923,2.47134E-05,9.95349E-05
SPINK1,2.905,2.905,-0.569,1.19986E-12,1.91126E-11
HECW1,2.905,2.905,0.022,1.25532E-06,6.82365E-06
ID2-AS1,2.905,2.905,-3.135,1.54113E-06,8.20788E-06
SPHKAP,2.905,2.905,-1.668,0.019761844,0.035653168
LOC541472,2.904,2.904,-3.228,9.43308E-06,4.19699E-05
LINC01203,2.903,2.903,-2.77,1.18512E-06,6.49507E-06
ATRNL1,2.902,2.902,-1.262,1.64025E-08,1.31796E-07
COL19A1,2.901,2.901,-1.285,7.46214E-13,1.22305E-11
LINC02080,2.9,2.9,-0.433,3.33464E-14,6.67841E-13
LOC105374989,2.9,2.9,-1.913,4.97993E-12,7.26806E-11
ACTL7A,2.9,2.9,-2.956,3.64373E-06,1.78645E-05
TUBB4A,2.9,2.9,-2.123,0.000326324,0.000978109
CLEC3B,2.899,2.899,-3.491,0.000382609,0.001126395
LINC02201,2.898,2.898,-3.515,0.001428248,0.003581071
LMLN-AS1,2.897,2.897,-3.606,0.000665469,0.001830202
PLCH1,2.896,2.896,-0.799,1.23806E-11,1.69242E-10
LINC01592,2.895,2.895,-3.331,0.001452686,0.003632275
VIL1,2.891,2.891,-2.068,1.28289E-07,8.63089E-07
FRMD3,2.89,2.89,-0.911,1.41538E-10,1.65002E-09
VTRNA2-1,2.888,2.888,-2.257,1.20945E-09,1.18287E-08
LGALS4,2.887,2.887,-1.522,2.19486E-14,4.50849E-13
MYT1L,2.887,2.887,-1.066,0.002429898,0.00572852
MUM1L1,2.886,2.886,-0.823,1.19013E-12,1.89843E-11
SLC10A1,2.884,2.884,-0.588,1.22339E-14,2.61919E-13
LCN12,2.884,2.884,-2.102,4.68431E-09,4.15119E-08
HSD52,2.884,2.884,-3.163,4.44787E-07,2.66955E-06
MIR5692B,2.884,2.884,-3.585,0.000397647,0.001164761
GNLY,2.881,2.881,-2.203,7.74375E-09,6.5966E-08
LOC101928674,2.88,2.88,-2.923,1.38749E-05,5.92535E-05
LOC284379,2.878,2.878,-2.245,1.82362E-08,1.44987E-07
TTC21A,2.877,2.877,1.13,4.07141E-19,1.62362E-17
SLC22A11,2.877,2.877,-2.364,2.46062E-11,3.21057E-10
FOXN3-AS2,-2.877,2.877,-3.411,0.117598278,0.170521643
RBMY2FP,-2.877,2.877,-3.414,0.129127865,0.184814562
FOXD4L4,2.876,2.876,-2.758,2.34106E-08,1.81725E-07
CTAGE6,2.876,2.876,-3.377,0.000626321,0.001736451
LOC101928002,2.875,2.875,-2.055,8.30255E-09,7.02245E-08
RASGRF1,2.874,2.874,-0.244,2.97335E-16,8.07547E-15
LINC00967,2.874,2.874,-1.323,1.75458E-10,2.00925E-09
PSMB8,2.873,2.873,2.472,2.03012E-12,3.12393E-11
MYT1,2.873,2.873,-2.925,4.47912E-08,3.30186E-07
IL12A-AS1,2.871,2.871,-1.446,1.1039E-12,1.7671E-11
LILRA5,2.871,2.871,-3.021,1.68894E-07,1.10823E-06
FGF17,2.871,2.871,-3.202,5.01257E-05,0.000186774
ANO3,2.871,2.871,-2.876,0.001506263,0.003748859
LOC100505782,2.87,2.87,-1.851,5.40846E-12,7.84296E-11
CHRM2,2.87,2.87,-2.926,5.16543E-06,2.44263E-05
LINC02102,2.87,2.87,-3.334,2.02367E-05,8.30252E-05
LOC101928009,2.869,2.869,-3.393,3.02304E-05,0.000119066
FBN3,2.869,2.869,-3.503,0.000545456,0.001538238
SFTPB,2.868,2.868,-0.394,7.57445E-10,7.70749E-09
FGF22,2.868,2.868,-2.45,2.0179E-09,1.903E-08
TXLNB,2.868,2.868,-2.559,4.65906E-08,3.42082E-07
LINC01864,2.866,2.866,-1.882,1.24359E-13,2.29573E-12
GALNT9,2.866,2.866,-2.876,0.000240977,0.000749333
BTK,2.865,2.865,-1.916,2.44894E-06,1.2457E-05
SLC22A9,2.864,2.864,-2.663,2.08052E-07,1.34415E-06
GIPC3,2.862,2.862,-3.117,1.00146E-06,5.57484E-06
LOC389199,2.86,2.86,-1.522,4.47951E-15,1.02387E-13
CAV3,2.86,2.86,-3.193,4.07973E-07,2.47483E-06
PHEX-AS1,2.86,2.86,-3.304,1.40133E-05,5.98221E-05
CPE,2.859,2.859,3.033,3.73995E-25,3.06934E-23
LINC01460,2.859,2.859,-1.03,5.73027E-13,9.572E-12
FOXA3,2.859,2.859,-2.922,7.39975E-06,3.382E-05
C2orf66,2.858,2.858,-1.861,9.91429E-10,9.86681E-09
ADAMTSL2,2.858,2.858,-2.571,7.50571E-07,4.29757E-06
ZNF80,2.857,2.857,-3.447,7.10247E-05,0.000254353
SLC3A1,2.855,2.855,-1.562,6.33774E-11,7.78082E-10
C4B,2.854,2.854,-2.213,1.56857E-10,1.81924E-09
DDX60,2.853,2.853,4.981,5.45115E-27,5.61245E-25
LINC01551,2.853,2.853,-1.484,1.75179E-12,2.71779E-11
SERPINC1,2.853,2.853,-1.723,4.13794E-05,0.000157952
LOC101928404,2.853,2.853,-3.605,0.00031835,0.00095801
CECR6,2.852,2.852,-2.981,1.08352E-06,5.97874E-06
LINC01664,2.851,2.851,-3.354,2.84148E-05,0.000112719
LIMS1,2.85,2.85,-0.797,2.02717E-11,2.68403E-10
TREML2,2.848,2.848,-2.621,1.76642E-06,9.27686E-06
HCG17,2.848,2.848,-3.71,0.002605882,0.00609217
TREH,2.847,2.847,-0.9,3.34514E-16,8.99889E-15
RNF144A,2.847,2.847,0.41,6.89301E-13,1.13883E-11
LINC01692,2.846,2.846,-3.517,0.001075578,0.002791992
ANGPTL5,2.845,2.845,-3.208,0.000103215,0.00035445
PALM3,2.845,2.845,-3.561,0.005593064,0.011856667
LINC00367,2.844,2.844,-3.619,0.000541391,0.001527915
TMEM236,2.843,2.843,0.232,4.38721E-19,1.73429E-17
RASSF2,2.839,2.839,-1.948,4.61947E-10,4.89868E-09
KLHL32,2.839,2.839,-2.662,7.16183E-06,3.28719E-05
UNC5C,2.838,2.838,-1.264,2.76683E-11,3.58532E-10
HSPB6,2.837,2.837,-2.766,1.35369E-07,9.06634E-07
DRGX,2.837,2.837,-3.312,0.000479157,0.001369858
LOC105372343,2.836,2.836,-2.562,2.62007E-08,2.01999E-07
MIR320D1,2.836,2.836,-3.482,0.000394974,0.001158429
SYCE2,2.835,2.835,-1.035,3.00874E-15,7.02588E-14
LINC00536,2.835,2.835,-2.938,6.27176E-07,3.64728E-06
MYOM2,2.835,2.835,-3.063,1.82981E-06,9.57207E-06
HLA-DPA1,2.835,2.835,-3.343,7.14357E-06,3.27947E-05
COL25A1,2.835,2.835,-2.843,0.001189268,0.003052478
CNTN4,2.835,2.835,-2.265,0.001827983,0.004459411
CRB1,2.832,2.832,-0.853,4.41049E-11,5.58111E-10
TBC1D3I,2.832,2.832,-3.372,0.000841766,0.002249509
KLHL30,2.831,2.831,-1.389,7.65801E-15,1.69894E-13
CFAP58,2.831,2.831,-0.555,2.00806E-14,4.14249E-13
MZB1,2.831,2.831,-0.856,4.44238E-14,8.74994E-13
CXorf21,2.831,2.831,-3.516,8.43202E-05,0.000295977
PDE11A,2.83,2.83,-0.625,2.39179E-16,6.58281E-15
MEF2C-AS1,2.83,2.83,-1.536,3.14236E-10,3.43853E-09
LOC101928381,2.83,2.83,-2.804,1.2796E-05,5.5229E-05
UPB1,2.829,2.829,-1.475,8.27119E-14,1.56386E-12
SPERT,2.829,2.829,-3.357,5.27868E-05,0.000195563
WTH3DI,2.829,2.829,-3.56,0.000556452,0.001564962
CARD9,2.828,2.828,0.825,2.57031E-21,1.30538E-19
AR,2.828,2.828,-2.486,3.14249E-08,2.38861E-07
LINC00672,2.827,2.827,-0.315,1.97151E-20,8.93131E-19
CLEC4A,2.827,2.827,-2.08,3.09249E-12,4.65435E-11
LOC102724659,2.826,2.826,-2.841,2.39855E-06,1.22144E-05
WBP2NL,2.825,2.825,-1.316,1.11276E-11,1.53596E-10
OR9Q1,2.825,2.825,-2.927,4.24181E-06,2.05083E-05
LINC01433,2.825,2.825,-3.478,4.80215E-05,0.000179643
SLC36A2,2.824,2.824,-1.605,4.32522E-12,6.39077E-11
RNF183,2.824,2.824,-1.675,1.47304E-11,1.99556E-10
RGS1,2.823,2.823,-3.461,0.001248047,0.003185657
SCAI,2.822,2.822,3.573,7.89947E-27,7.91729E-25
EMX1,2.822,2.822,-2.46,9.58555E-07,5.36373E-06
LOC729040,2.821,2.821,-1.485,8.66321E-14,1.63525E-12
LINC00559,2.821,2.821,-3.19,1.98213E-05,8.15423E-05
SLC18A1,2.821,2.821,-3.341,0.000145714,0.000482257
NLRP8,2.82,2.82,-3.276,4.23073E-05,0.000161005
BAALC,2.819,2.819,-1.28,1.73746E-12,2.6974E-11
SP140,2.819,2.819,-1.661,1.6468E-10,1.89541E-09
CPEB1,2.818,2.818,-0.725,1.15069E-09,1.12945E-08
SP8,2.818,2.818,-3.565,0.00103034,0.002688427
GKN1,2.816,2.816,-3.538,0.000480413,0.001373274
ARHGAP30,2.815,2.815,0.653,4.29131E-28,5.25419E-26
TOMM20L,2.815,2.815,-2.505,1.37711E-06,7.40573E-06
LINC02421,2.815,2.815,-2.948,7.69305E-06,3.4991E-05
MIR3186,2.815,2.815,-3.468,0.001061386,0.002760847
TPH2,2.814,2.814,0.911,1.87516E-20,8.54613E-19
MPP4,2.814,2.814,-0.077,1.34821E-17,4.3626E-16
PABPN1L,2.814,2.814,-2.74,7.8263E-08,5.48495E-07
CLCNKB,2.813,2.813,-2.698,1.83402E-08,1.45762E-07
SLC9C1,2.812,2.812,-1.03,1.3921E-08,1.13263E-07
DCST2,2.811,2.811,-1.883,3.03922E-07,1.88658E-06
LOC101927690,2.81,2.81,-1.874,7.1728E-11,8.74912E-10
JAKMIP3,2.81,2.81,-2.665,4.41444E-09,3.93822E-08
ACSM5,2.81,2.81,-2.989,6.9451E-07,4.00772E-06
MIR143,2.809,2.809,0.361,2.19027E-27,2.31831E-25
VAMP1,2.809,2.809,0.746,1.75922E-17,5.58098E-16
CDHR5,2.808,2.808,-1.045,7.39624E-15,1.64408E-13
SEMA3B-AS1,2.808,2.808,-2.193,1.19863E-11,1.64348E-10
C16orf96,2.807,2.807,-3.019,8.66157E-06,3.88991E-05
EXTL3-AS1,2.806,2.806,-0.223,5.57347E-17,1.67212E-15
CACNB2,2.806,2.806,-0.696,6.28827E-15,1.41445E-13
C1orf105,2.806,2.806,-3.3,0.000190621,0.000609507
LINC02363,2.805,2.805,-1.219,8.20026E-12,1.15512E-10
LBP,2.804,2.804,-3.439,0.000316476,0.000953258
SLC25A30-AS1,2.803,2.803,-1.55,6.94417E-15,1.54968E-13
LINC01494,2.802,2.802,-2.827,8.0924E-08,5.65046E-07
LOC100130417,2.802,2.802,-3.039,6.38866E-06,2.96354E-05
C6orf58,2.802,2.802,-2.7,1.11534E-05,4.8875E-05
ANO2,2.802,2.802,-3.274,0.000259627,0.000799458
FLJ37453,2.801,2.801,2.714,1.96887E-30,3.07564E-28
GPR151,2.801,2.801,-1.651,1.14899E-11,1.58211E-10
CAMK1G,2.8,2.8,1.619,9.94877E-35,2.39734E-32
EFCAB5,2.8,2.8,0.163,2.59792E-18,9.10921E-17
RTL9,2.8,2.8,-2.165,1.38409E-08,1.12692E-07
PRG4,2.8,2.8,-2.146,7.10182E-07,4.08905E-06
LINC00935,2.799,2.799,-3.178,0.000128187,0.000430286
HP,2.798,2.798,-1.223,6.84917E-10,7.03905E-09
JPH3,2.798,2.798,-2.185,2.50567E-08,1.9364E-07
LOC100131635,2.798,2.798,-2.707,7.2348E-07,4.16033E-06
ADRA1D,2.797,2.797,-3.415,0.000455567,0.00131102
LOC101927402,2.796,2.796,-1.554,6.73554E-13,1.11525E-11
HAL,2.795,2.795,-0.389,1.89002E-10,2.15563E-09
ATCAY,2.795,2.795,-1.217,1.4675E-08,1.1897E-07
NR0B2,2.795,2.795,-2.737,8.49884E-07,4.80907E-06
LHX9,2.794,2.794,-3.208,0.000403036,0.001179174
LINC02145,2.792,2.792,-1.992,1.34539E-09,1.30582E-08
LINC01327,2.792,2.792,-3.085,7.71279E-06,3.50738E-05
LOC101928739,2.791,2.791,-3.56,0.001142249,0.002942798
CYP2D6,2.79,2.79,-3.511,0.000557115,0.00156663
MIR499A,2.789,2.789,-3.624,0.00344348,0.007777272
LOC286178,-2.786,2.786,-3.435,0.145568624,0.204545589
LINC01787,2.785,2.785,-3.036,4.65222E-06,2.2255E-05
PRDM9,2.784,2.784,-2.168,1.485E-07,9.84395E-07
C22orf15,2.782,2.782,-1.035,9.36228E-09,7.85135E-08
TMEFF2,2.782,2.782,-2.082,0.004499051,0.009818672
LOC101928940,2.781,2.781,-1.702,1.52627E-09,1.46739E-08
TBX3,2.78,2.78,3.431,2.0693E-26,1.98609E-24
C11orf16,2.78,2.78,-0.813,4.73668E-17,1.42674E-15
GRIN3A,2.78,2.78,-0.505,8.00381E-10,8.10798E-09
VWA5B1,2.78,2.78,-2.079,4.02918E-09,3.62306E-08
RIPPLY2,-2.78,2.78,-0.921,1.08992E-07,7.44582E-07
TF,2.78,2.78,-0.102,3.21532E-06,1.59926E-05
GBP4,2.778,2.778,1.638,2.57965E-26,2.43465E-24
C5,2.778,2.778,1.276,6.81635E-16,1.7446E-14
GBP5,2.776,2.776,1.016,4.68943E-26,4.30042E-24
LINC00691,2.776,2.776,-2.155,1.39271E-11,1.8924E-10
COL6A4P1,2.776,2.776,-3.257,2.25786E-05,9.16374E-05
SNORD95,2.776,2.776,-2.805,4.94737E-05,0.000184557
LOC100505817,2.776,2.776,-3.533,0.001893786,0.004600615
MYH3,2.775,2.775,0.689,1.2206E-14,2.61816E-13
LIPN,2.774,2.774,-3.401,0.000245812,0.000762723
CPN2,2.773,2.773,-1.215,4.53028E-12,6.66766E-11
SEMA3E,2.773,2.773,-1.603,2.36599E-07,1.50794E-06
TAF1L,2.772,2.772,-2.97,2.24084E-06,1.14731E-05
CNTFR,2.772,2.772,-3.445,0.000557451,0.00156738
MIR122,2.771,2.771,-0.957,5.41709E-16,1.40714E-14
CPT1C,2.77,2.77,1.601,6.80881E-21,3.30249E-19
FAM180A,2.77,2.77,-2.469,1.06176E-09,1.04929E-08
PROM1,2.77,2.77,-1.758,2.70866E-06,1.36636E-05
COL2A1,2.769,2.769,0.443,1.16673E-16,3.35803E-15
GRXCR2,2.769,2.769,-3.539,0.001452228,0.003631933
CPEB1-AS1,2.768,2.768,-1.869,2.64412E-11,3.43811E-10
LINC01708,2.768,2.768,-3.476,0.00019923,0.000633458
SNORD53,-2.768,2.768,-2.771,0.006347226,0.013235726
SNORD21,2.767,2.767,-2.998,2.06831E-05,8.47184E-05
MIR4521,2.766,2.766,-1.41,4.17476E-10,4.47694E-09
KBTBD11-OT1,2.766,2.766,-3.674,0.000972209,0.002557071
NRXN2,2.766,2.766,-0.709,0.004160254,0.009175649
PCAT2,2.765,2.765,-3.422,0.00050911,0.001446908
CA8,2.765,2.765,-3.234,0.002858904,0.006611234
HSD3B2,2.763,2.763,-3.183,0.000172655,0.000560074
KCNN1,2.762,2.762,-2.63,7.97819E-07,4.54284E-06
PMAIP1,2.761,2.761,4.641,1.23693E-41,6.67091E-39
TNFRSF1B,2.761,2.761,-1.111,1.28209E-14,2.74227E-13
SLC1A2,2.761,2.761,2.2,0.001041772,0.002714907
PRKCB,2.761,2.761,0.161,0.001044713,0.002721854
SPATA9,2.758,2.758,-2.831,6.77935E-06,3.12747E-05
LINC00398,-2.758,2.758,-3.444,0.150621606,0.210678646
GRIK1,2.757,2.757,-1.427,6.9142E-12,9.83136E-11
FNDC11,2.756,2.756,0.451,1.16835E-19,5.00272E-18
SFRP5,2.756,2.756,-2.796,1.05565E-05,4.64571E-05
RAPSN,2.754,2.754,-1.043,1.61714E-14,3.37603E-13
MUC20,2.753,2.753,-1.805,2.33647E-11,3.05765E-10
LINC01180,2.752,2.752,-1.741,8.83257E-13,1.43726E-11
GRIN2B,2.752,2.752,1.831,0.005780047,0.012201663
PLA2G4C,2.751,2.751,0.727,3.27964E-18,1.13415E-16
MIR4999,2.75,2.75,-3.34,0.000145237,0.000480888
CCDC169,2.749,2.749,1.31,5.39461E-15,1.21949E-13
FLJ42969,2.748,2.748,-2.574,4.32426E-08,3.20199E-07
EFNA2,2.748,2.748,-3.017,8.40429E-06,3.78761E-05
CACNB4,2.747,2.747,0.253,1.49557E-11,2.02487E-10
PCBP3,2.747,2.747,-1.878,4.11967E-09,3.69563E-08
NHLH1,2.745,2.745,-3.394,0.000122801,0.000413925
ACVR2B-AS1,2.744,2.744,-0.254,4.57915E-16,1.1991E-14
DLX3,2.744,2.744,-2.132,7.31871E-09,6.26279E-08
LOC100507506,2.744,2.744,-2.518,6.36383E-07,3.69703E-06
LTB,2.743,2.743,-0.667,1.5674E-11,2.11329E-10
GNA14,2.743,2.743,-3.054,9.15436E-06,4.09389E-05
IL21R,2.74,2.74,-0.509,7.27876E-19,2.79443E-17
PTGIS,2.74,2.74,-1.525,3.8348E-10,4.14023E-09
SERINC4,2.738,2.738,-2.546,3.15825E-09,2.89157E-08
RNU6-2,2.737,2.737,-0.883,2.31972E-18,8.19718E-17
RNU6-1,2.737,2.737,-0.883,2.31615E-18,8.19718E-17
RNU6-9,2.737,2.737,-0.883,2.3134E-18,8.19718E-17
SLC5A4,2.737,2.737,-3.511,0.000997887,0.002615367
PON1,2.735,2.735,-2.977,0.000259549,0.000799326
MCTP1,2.734,2.734,1.846,3.7949E-18,1.29846E-16
GAL3ST1,2.733,2.733,-1.996,4.20591E-09,3.76405E-08
SIGLEC11,2.732,2.732,-1.669,1.87658E-15,4.51237E-14
DLGAP1,2.732,2.732,-1.046,7.65971E-13,1.25271E-11
LOC105374580,2.732,2.732,-3.315,0.000269101,0.000824482
LRFN1,2.731,2.731,-2.545,8.1772E-07,4.64099E-06
F10-AS1,2.73,2.73,-2.371,8.79756E-10,8.86947E-09
NLRC3,2.728,2.728,-0.297,9.69953E-16,2.44116E-14
LOC101929159,2.728,2.728,-0.847,1.04232E-15,2.6088E-14
SNORA2A,2.727,2.727,-1.777,7.47868E-10,7.62375E-09
DLGAP2,2.727,2.727,-2.915,2.79111E-06,1.40243E-05
SCML4,2.726,2.726,-1.03,3.91801E-16,1.03555E-14
LOC105374328,2.726,2.726,-2.752,1.15844E-06,6.35501E-06
LOC101928053,2.725,2.725,-0.032,1.82528E-21,9.59266E-20
FOXD4L6,2.723,2.723,-3.35,0.000533332,0.001507236
CPXM1,2.721,2.721,-3.439,0.001379542,0.00347625
LY6G6C,2.721,2.721,-3.714,0.002617156,0.006115879
DNAAF1,2.72,2.72,-0.357,1.32103E-17,4.28691E-16
LINC00261,2.72,2.72,-1.447,4.54103E-07,2.71897E-06
CDX2,2.72,2.72,-3.374,0.004551022,0.009911531
SERPINB12,2.719,2.719,-2.459,1.32162E-07,8.87259E-07
C4B_2,2.719,2.719,-2.96,1.36923E-07,9.16321E-07
FAM69B,2.718,2.718,1.243,5.28176E-20,2.3096E-18
SSUH2,2.718,2.718,-1.078,2.47534E-12,3.76555E-11
LOC339666,2.718,2.718,-2.312,4.956E-09,4.36803E-08
PRND,2.718,2.718,-2.449,4.09494E-07,2.48098E-06
IL4,2.718,2.718,-3.481,0.001927935,0.004675052
MIR30E,-2.718,2.718,-3.456,0.169345074,0.233039809
SEC31B,2.717,2.717,0.906,8.73808E-28,9.99628E-26
CSF3R,2.717,2.717,-0.625,2.32492E-13,4.14332E-12
PSMB8-AS1,2.716,2.716,-2.034,1.68533E-13,3.0613E-12
MIR519A2,2.715,2.715,-2.633,1.55325E-07,1.02513E-06
ZNF474,2.714,2.714,-1.951,6.15314E-09,5.33594E-08
LOC101929130,2.714,2.714,-3.116,3.92339E-06,1.91148E-05
NRN1L,2.712,2.712,-3.23,0.000161733,0.00052863
MIR5689HG,2.709,2.709,-1.678,1.81125E-10,2.071E-09
SNTN,2.708,2.708,-2.012,4.26519E-05,0.000162069
CYSLTR1,2.707,2.707,0.189,8.98101E-15,1.97121E-13
GSTM5,2.706,2.706,-1.226,5.94253E-06,2.77363E-05
GCM2,2.706,2.706,-3.61,0.000427985,0.001242221
KCNJ2-AS1,-2.706,2.706,-2.766,0.005581011,0.01183444
SUSD2,2.705,2.705,-1.627,8.75568E-12,1.22802E-10
LOC440700,2.705,2.705,-3.051,5.2542E-06,2.47944E-05
GUCA1C,-2.704,2.704,-3.459,0.167163662,0.23051407
ARX,2.703,2.703,-0.826,0.008505322,0.017120239
SCNN1D,2.702,2.702,0.192,1.59234E-14,3.33347E-13
RBP3,2.702,2.702,-3.381,2.22582E-05,9.04343E-05
SLC23A3,2.701,2.701,-0.6,3.4771E-15,8.02851E-14
SLC9A2,2.701,2.701,-0.955,2.66094E-07,1.67611E-06
SNTB1,2.701,2.701,-2.38,5.57476E-06,2.61762E-05
LINC01395,2.701,2.701,-3.411,0.00027661,0.000844746
LINC01647,2.7,2.7,-1.759,8.61775E-10,8.69878E-09
SEMA3D,2.699,2.699,-0.955,5.2864E-11,6.59374E-10
LOC101928438,2.698,2.698,-3.33,9.61137E-05,0.000332631
LINC00635,2.697,2.697,-0.59,2.35764E-11,3.08153E-10
NETO1,2.697,2.697,-1.545,0.000736128,0.002002164
MAP3K8,2.696,2.696,2.089,1.71209E-15,4.12998E-14
LAT2,2.695,2.695,1.081,5.99617E-26,5.43277E-24
ZNF385C,2.695,2.695,-0.347,5.43536E-19,2.12269E-17
NEURL1,2.694,2.694,0.074,8.4828E-19,3.22389E-17
LOC101927575,2.694,2.694,-0.966,1.60963E-09,1.54033E-08
TTN,2.693,2.693,3.447,3.50866E-09,3.18919E-08
TIGD4,2.693,2.693,-1.711,4.46127E-09,3.97531E-08
LINC01182,2.693,2.693,-2.707,2.34404E-05,9.48291E-05
LINC00479,2.693,2.693,-2.904,0.003343172,0.007582476
CLEC2L,2.693,2.693,-3.113,0.014783501,0.027717993
ATP2A3,2.692,2.692,-1.427,1.09246E-08,9.08756E-08
ZIM3,2.692,2.692,-2.64,4.57488E-06,2.19221E-05
LINC02401,2.691,2.691,-3.592,0.002146538,0.005140208
CHRM4,2.69,2.69,-2.712,1.19705E-07,8.1035E-07
SLC25A2,2.689,2.689,-3.415,0.001016835,0.002657271
SNHG21,2.688,2.688,0.232,1.00179E-16,2.89803E-15
LINC01254,2.686,2.686,-1.509,1.13869E-12,1.81978E-11
BATF2,2.684,2.684,1.022,1.01258E-31,1.89553E-29
AGXT,2.684,2.684,-3.047,2.75099E-05,0.000109493
GPR160,2.683,2.683,0.304,1.57224E-19,6.6442E-18
AKR1C8P,2.683,2.683,-3.193,5.28116E-05,0.000195623
RAB42,2.682,2.682,0.036,1.95438E-20,8.87149E-19
EMID1,2.682,2.682,-1.992,4.07157E-11,5.16667E-10
NELL1,2.681,2.681,-2.83,4.92095E-05,0.000183692
CYP2F1,2.68,2.68,-3.414,0.000462958,0.001329252
LOC107986266,2.679,2.679,-1.682,3.6631E-11,4.6719E-10
LOC200772,2.679,2.679,-3.229,0.001400851,0.003523281
CXCR5,2.679,2.679,-3.462,0.004876663,0.010530153
TRIM72,2.678,2.678,1.163,7.09612E-22,3.83614E-20
MIR7-3HG,2.678,2.678,-2.58,4.79634E-07,2.85975E-06
LINC02356,2.678,2.678,-3.266,0.00018822,0.000602767
LINC00636,2.678,2.678,-3.575,0.001700313,0.004174032
LINC00189,2.677,2.677,-2.625,1.53683E-08,1.24058E-07
IKZF3,2.675,2.675,1.3,1.52126E-20,7.00368E-19
CYP3A4,2.675,2.675,-2.793,1.44723E-05,6.16382E-05
FRMD7,2.674,2.674,-2.758,1.64692E-05,6.91207E-05
MS4A6A,2.673,2.673,-1.606,4.70511E-11,5.92415E-10
FRMPD1,2.673,2.673,-1.044,7.01459E-08,4.96059E-07
PTX4,2.673,2.673,-3.595,0.001938565,0.004698817
LINC02246,2.671,2.671,-0.347,2.71649E-13,4.76987E-12
LINC01996,2.671,2.671,-2.675,3.66071E-07,2.24093E-06
MYH6,2.671,2.671,-3.271,0.00042669,0.001239255
LINC01567,2.67,2.67,-2.132,6.40213E-09,5.53703E-08
DDX4,2.67,2.67,-3.488,0.00169276,0.004157293
SLC2A14,2.669,2.669,-1.687,1.14203E-07,7.7659E-07
SNX20,2.669,2.669,-2.66,3.24417E-07,2.00392E-06
DNAJB13,2.668,2.668,-1.537,3.05393E-11,3.93709E-10
GJB7,2.668,2.668,-1.856,4.35405E-08,3.21879E-07
KIAA1024L,2.668,2.668,-2.463,1.30721E-06,7.07011E-06
TMEM52B,2.668,2.668,-2.068,4.89859E-06,2.32909E-05
KBTBD8,2.666,2.666,3.048,1.08925E-22,6.47574E-21
C5AR2,2.666,2.666,0.459,4.55076E-20,1.9938E-18
ZNRF3-AS1,2.665,2.665,-1.962,2.06723E-08,1.62623E-07
DNAI1,2.665,2.665,-3.111,0.000422736,0.001229189
LOC105373100,2.662,2.662,-2.984,2.6924E-06,1.35947E-05
MIRLET7A1,2.662,2.662,-3.114,4.72454E-05,0.000177413
LHFPL3-AS1,2.661,2.661,-2.263,2.46215E-07,1.56088E-06
MIR548Q,2.661,2.661,-3.531,0.001908628,0.004632201
MBL1P,2.66,2.66,-1.148,7.98541E-11,9.66742E-10
ESAM,2.659,2.659,-2.41,5.28903E-08,3.83366E-07
EGFLAM-AS4,2.659,2.659,-2.868,3.49943E-06,1.72354E-05
C7,2.659,2.659,-1.86,0.000793601,0.002138456
DUSP26,2.659,2.659,-3.294,0.005884958,0.012397711
ANXA10,2.657,2.657,-0.418,1.08089E-12,1.73763E-11
SYN3,2.657,2.657,-1.704,7.76291E-11,9.40811E-10
LINC01470,2.657,2.657,-2.964,5.23148E-06,2.46923E-05
CYBB,2.655,2.655,-3.004,0.000717902,0.001957528
