GENE_SYMBOL,Log_FoldChange,adjLogFoldChange,logCPM,PValue,FDR_adjusted_P.value
SLITRK2,0.946,0.946,-2.3,0.034481924,0.182124568
ODF3,0.946,0.946,-2.352,0.071205148,0.291391038
RGS22,0.946,0.946,-3.309,0.109006927,0.377900887
RGS8,0.946,0.946,-3.223,0.239393567,0.578057554
LOC284395,0.945,0.945,-2.005,0.002652042,0.027632719
PSPC1-AS2,0.945,0.945,-2.554,0.014648875,0.099862622
KLHL32,0.945,0.945,-3.033,0.139375798,0.432501009
HAP1,0.944,0.944,-0.285,3.20488E-05,0.000668512
DRAXIN,0.944,0.944,-1.247,0.000163489,0.002718495
SH3GL3,-0.944,0.944,-1.978,0.005075658,0.045705611
MRAP2,-0.943,0.943,0.763,1.5349E-06,4.48015E-05
KCNJ6,0.943,0.943,-0.825,7.2984E-05,0.001354503
CCDC60,0.943,0.943,-2.174,0.01293198,0.091085584
BLACE,0.943,0.943,-3.297,0.073168923,0.296836294
SCN1A,0.943,0.943,0.956,0.095768414,0.350204991
LOC101928535,0.942,0.942,-2.99,0.01628905,0.107664756
CLRN1,0.942,0.942,-3.495,0.111880271,0.383138619
SNORD66,-0.942,0.942,-3.308,0.187768062,0.509001524
NOX1,0.941,0.941,-2.107,0.02123797,0.130161473
ADORA1,-0.941,0.941,-3.094,0.274077356,0.618734773
CILP2,0.939,0.939,-1.832,0.010743038,0.08016681
PCDHB4,-0.939,0.939,-2.463,0.040289058,0.201490638
CYP4F62P,-0.939,0.939,-2.9,0.146027661,0.443170013
STAG3L5P,0.938,0.938,2.562,1.46197E-06,4.29031E-05
PIK3C2B,-0.938,0.938,2.451,4.50383E-05,0.000893668
MYLK3,0.938,0.938,0.678,8.95139E-05,0.001623307
RGS6,0.938,0.938,-3.027,0.190778691,0.514415984
MIR4436B2,-0.938,0.938,-3.748,0.201353909,0.527660724
MIR4436B1,-0.938,0.938,-3.748,0.201342425,0.527660724
MIR548Q,0.938,0.938,-3.833,0.282973796,0.628067033
MIR6719,-0.938,0.938,-3.738,0.391279582,0.730782032
SLC46A2,-0.938,0.938,-3.744,0.435732808,0.765432517
HAND2-AS1,0.937,0.937,-2.403,0.016858426,0.110344707
C12orf42,-0.937,0.937,-3.049,0.083431658,0.321665098
FFAR4,0.936,0.936,-2.105,0.003980546,0.037825744
CPNE4,0.936,0.936,-1.326,0.007068151,0.059007509
C2CD4C,-0.936,0.936,-0.906,0.007855926,0.063996844
GBA3,0.936,0.936,-3.347,0.066952801,0.280528536
HOXA9,0.936,0.936,-3.437,0.107584332,0.375370807
MIR4757,-0.936,0.936,-3.634,0.279915367,0.624705634
HBEGF,0.935,0.935,5.623,0.001271956,0.015390256
CHRNB4,0.935,0.935,-1.734,0.001450626,0.017023595
POU5F1P4,0.935,0.935,-3.304,0.060960801,0.26429434
LOC345051,0.935,0.935,-3.097,0.061837475,0.266689866
RMI2,0.934,0.934,2.692,5.24251E-05,0.001022497
TMPRSS7,0.934,0.934,-1.945,0.001041325,0.013054765
DNAJB5-AS1,0.934,0.934,-2.666,0.043477358,0.211948542
CYP19A1,0.934,0.934,-3.645,0.246323511,0.587637113
IL23A,0.933,0.933,0.307,1.77042E-07,6.26273E-06
ADCY5,0.933,0.933,-1.847,0.071895235,0.293385883
SCARNA20,0.933,0.933,-3.25,0.072335432,0.294483883
FAM86B2,0.933,0.933,-3.665,0.184169856,0.503362862
MIR548E,-0.933,0.933,-3.837,0.48596194,0.799553113
DLK2,-0.932,0.932,2.316,9.33495E-07,2.87224E-05
CASS4,0.932,0.932,-1.995,0.00578218,0.050831473
MESP1,0.932,0.932,-2.744,0.062342318,0.26820316
LINC01602,0.932,0.932,-3.344,0.071195374,0.291391038
LOC100132686,0.932,0.932,-3.759,0.227340289,0.562213573
AHRR,0.931,0.931,-0.928,0.005130335,0.046104532
LOC100507389,0.931,0.931,-3.525,0.12796068,0.41393187
ST6GALNAC3,-0.931,0.931,-2.259,0.147199041,0.445505713
OGFR,0.93,0.93,5.522,4.41595E-14,3.97167E-12
GADL1,0.93,0.93,-0.667,0.000370133,0.005470731
LOC101927533,0.93,0.93,-1.695,0.001591373,0.018431878
STMND1,0.93,0.93,-1.837,0.00604305,0.052583768
KLK2,0.93,0.93,-2.25,0.007108246,0.059319938
LINC00692,0.93,0.93,-3.718,0.23244927,0.568532867
LMO7DN,0.93,0.93,-3.876,0.357748107,0.702126885
C5,0.929,0.929,0.458,0.000566897,0.007871015
LOC105371084,0.929,0.929,-1.456,0.002077916,0.022942793
MPPED2,0.929,0.929,-1.825,0.018691262,0.118907899
CTD-2270F17.1,0.929,0.929,-3.367,0.078496867,0.310286102
LINC01951,0.929,0.929,-3.496,0.102541781,0.364108345
MIR3942,-0.929,0.929,-3.744,0.222378271,0.555945677
LINC01237,0.928,0.928,-3.333,0.050787475,0.234269884
ANKRD20A11P,0.928,0.928,-3.413,0.130616337,0.418465809
FOXA1,0.927,0.927,3.673,1.44924E-13,1.21034E-11
SMIM10L2B,-0.927,0.927,-0.242,0.000516318,0.007254909
C4BPB,0.927,0.927,-1.015,0.002949861,0.029950256
GNG4,0.927,0.927,-2.356,0.009208387,0.071525989
RNY4,0.927,0.927,-2.456,0.036854684,0.190797249
MIR8055,-0.926,0.926,-3.728,0.331513475,0.676865505
LOC101928887,0.925,0.925,-3.19,0.048364997,0.227017525
HMGB1P51,0.924,0.924,-3.014,0.037764531,0.193705624
GYPE,0.924,0.924,-3.465,0.140071864,0.433746369
IL21R-AS1,0.923,0.923,-2.668,0.015442099,0.103827554
IQCF1,0.923,0.923,-3.089,0.059573782,0.26113488
POU2F3,0.922,0.922,0.423,6.93184E-06,0.000169344
LOC100419170,0.922,0.922,-1.775,0.002200493,0.023998017
SOX11,0.922,0.922,-1.454,0.005228734,0.046893957
BCAS1,-0.922,0.922,-1.724,0.019855994,0.124148864
C1orf141,0.922,0.922,-2.913,0.065744877,0.277410199
MTUS2,0.922,0.922,-2.396,0.098626262,0.355856939
MIR4730,0.922,0.922,-3.663,0.128678806,0.414951326
NANOGNB,0.922,0.922,-3.613,0.19558286,0.52065587
LYRM4-AS1,-0.921,0.921,-1.063,0.00071958,0.009618213
LINC02081,0.921,0.921,-2.595,0.006455609,0.055158216
PM20D1,-0.921,0.921,-2.486,0.045756697,0.219050476
ZDHHC11B,-0.921,0.921,-3.26,0.163551464,0.472249431
LINC00574,0.921,0.921,-3.726,0.171584258,0.484848755
IRAK2,0.92,0.92,4.718,1.47727E-08,6.49851E-07
HIST1H2BA,0.92,0.92,-3.814,0.323943913,0.668457287
LOC101929064,-0.92,0.92,-3.798,0.344359065,0.689245575
LINC02035,-0.919,0.919,1.591,3.42153E-05,0.000705096
ZEB2,0.919,0.919,0.51,0.026509916,0.151237232
ND2,-0.919,0.919,4.635,0.028542691,0.159435723
COLEC11,0.919,0.919,-2.323,0.061963257,0.266911028
LOC440700,0.919,0.919,-3.412,0.11257575,0.384335374
NRSN1,0.919,0.919,-2.754,0.121029339,0.400256281
ZNF107,0.918,0.918,1.438,1.91022E-06,5.46851E-05
SMAD1-AS1,0.918,0.918,-3.722,0.179620728,0.496241074
GJB7,0.917,0.917,-2.284,0.021918939,0.132895535
CD274,0.916,0.916,4.487,8.36869E-12,5.77362E-10
LINC01273,0.916,0.916,-1.648,0.004972242,0.045029905
SNORD33,-0.916,0.916,-0.822,0.016047754,0.106672909
SH2D7,0.916,0.916,-2.888,0.037328258,0.192299661
FER1L4,0.915,0.915,0.756,0.000580759,0.008028346
LINC01505,0.915,0.915,-2.459,0.010807342,0.080484448
CYP2W1,0.915,0.915,-3.048,0.132196345,0.420876351
ANGPTL2,-0.915,0.915,-3.038,0.287492379,0.632591442
USP50,0.914,0.914,-3.066,0.053162389,0.241959123
TSGA10IP,0.914,0.914,-3.017,0.089707644,0.335836756
CCDC144A,-0.914,0.914,-1.318,0.137285018,0.429365998
SNORD114-10,-0.913,0.913,-3.193,0.120522143,0.399432071
NANOS1,-0.912,0.912,0.983,1.72639E-07,6.11671E-06
MRLN,0.912,0.912,-2.013,0.008462644,0.06709409
FBP1,0.912,0.912,-3.077,0.053553576,0.243191474
LINC00398,0.912,0.912,-3.47,0.155628077,0.459805523
MIR647,0.912,0.912,-3.62,0.159515161,0.466004785
RNY3,-0.911,0.911,3.263,0.020414576,0.126907567
CLDN9,0.911,0.911,-3.57,0.084175482,0.323522203
MIR320D1,0.911,0.911,-3.809,0.24121376,0.580119484
LINC01514,0.911,0.911,-3.821,0.262398027,0.605943053
PAMR1,-0.91,0.91,2.756,0.000826155,0.010862248
GJA5,-0.91,0.91,-0.903,0.011364374,0.083319992
ZAP70,0.91,0.91,-3.504,0.211317334,0.541018161
SEMA4D,0.909,0.909,0.926,4.50555E-05,0.000893668
PTGIS,0.909,0.909,-2.01,0.007211152,0.059841519
SLCO2A1,-0.909,0.909,-2.625,0.076173456,0.30429659
LIPN,0.909,0.909,-3.722,0.162900095,0.471777787
PDE6B,0.908,0.908,-1.105,0.009975521,0.075788712
DUSP15,0.908,0.908,-3.545,0.119176369,0.39698651
PRRX1,0.908,0.908,-3.155,0.340572034,0.685816472
NEDD9,0.907,0.907,5.328,2.57266E-11,1.69088E-09
GCM1,0.907,0.907,-1.455,0.001324383,0.015860463
MARCO,0.907,0.907,-2.482,0.022085651,0.133540956
CAPN13,0.907,0.907,-3.598,0.157544621,0.462026898
AKR1C8P,0.907,0.907,-3.545,0.199397655,0.525209734
LINC01087,0.906,0.906,-2.041,0.012847447,0.090633867
ADAM29,0.906,0.906,-2.413,0.024372485,0.142821088
PNPLA1,0.906,0.906,-2.843,0.039491501,0.199025341
IL4I1,0.906,0.906,-2.106,0.050835629,0.234370186
SERPINB9,0.905,0.905,2.487,6.06906E-14,5.37148E-12
KLB,0.905,0.905,0.281,6.9369E-06,0.000169344
LINC01429,0.905,0.905,-2.866,0.039005381,0.197561456
PDE3A,0.905,0.905,-2.894,0.088899883,0.333716174
PTPRD-AS2,0.905,0.905,-3.244,0.120539843,0.399432071
CSE1L-AS1,0.904,0.904,-2.194,0.00442037,0.040984355
RIMBP3,-0.904,0.904,-1.607,0.081139688,0.316647371
ALDH1L1-AS2,-0.904,0.904,-3.49,0.341029058,0.686343815
PRIMA1,-0.904,0.904,-3.824,0.444470873,0.77103861
MIR5008,-0.903,0.903,-3.837,0.457415204,0.780877777
HS3ST6,-0.903,0.903,-3.937,0.625145336,0.879695581
CACNG4,-0.902,0.902,-1.292,0.021724278,0.132220505
COLQ,0.902,0.902,-1.665,0.024899477,0.144860182
MRO,0.902,0.902,-2.932,0.031300972,0.170220584
GP2,0.902,0.902,-3.003,0.073644528,0.298270409
LINC02356,0.902,0.902,-3.58,0.144702994,0.441275953
LOC100505664,-0.902,0.902,-2.613,0.287558771,0.63261221
MS4A6A,0.901,0.901,-2.094,0.007395957,0.06109673
MAPT,0.901,0.901,-1.334,0.040672151,0.202585612
MUC21,0.901,0.901,-3.599,0.093179967,0.343738453
GGTA1P,0.901,0.901,-3.488,0.119044126,0.396783984
CYCSP52,0.901,0.901,-3.274,0.123045558,0.404417382
LINC01655,0.901,0.901,-3.457,0.135518699,0.42654405
ANO4,0.901,0.901,-2.589,0.301795265,0.646531132
SLN,0.901,0.901,-3.823,0.303398774,0.648825931
WFDC1,0.9,0.9,-0.648,4.09506E-05,0.000821762
MIR1273A,0.9,0.9,-2.821,0.040182699,0.201139853
PROM1,0.9,0.9,-2.212,0.121321376,0.40088567
LINC01180,0.899,0.899,-2.246,0.003989268,0.037856291
SH2D4B,0.899,0.899,-2.528,0.005530818,0.049068343
GOLT1A,0.899,0.899,-2.298,0.017554646,0.113530265
LOC102725019,0.899,0.899,-3.588,0.202521864,0.529421419
NCR1,0.899,0.899,-3.949,0.207761346,0.535060627
FAIM2,0.899,0.899,-2.947,0.245643077,0.586391679
FGG,0.899,0.899,-2.026,0.247009522,0.588389077
KIF19,0.898,0.898,-2.456,0.034303375,0.181483563
LINC00051,0.898,0.898,-2.747,0.070575032,0.289969125
LINC01470,0.898,0.898,-3.313,0.080482905,0.315386792
C10orf99,-0.897,0.897,0.274,0.079660877,0.313159864
LUZP2,0.897,0.897,-2.314,0.134908109,0.425405769
P4HA2-AS1,0.897,0.897,-3.455,0.158164237,0.463538065
LSMEM2,0.896,0.896,-2.102,0.012485076,0.088698852
MIR624,0.896,0.896,-3.859,0.197844793,0.523372839
C2orf70,0.896,0.896,-3.577,0.239403677,0.578057554
PLCH1,0.895,0.895,-1.455,0.006370738,0.05466433
ARNT2,-0.895,0.895,1.57,0.1007872,0.360429436
IFITM3,0.894,0.894,7.941,1.46663E-07,5.30638E-06
ANXA13,0.894,0.894,-1.741,0.002727581,0.028091429
GLI1,-0.894,0.894,-0.638,0.009029055,0.070428532
LINC02075,0.894,0.894,-2.737,0.015661291,0.104845171
HLA-DQA1,-0.894,0.894,-1.727,0.272009529,0.616545372
CLCA3P,0.893,0.893,-1.129,0.001290306,0.015552983
CDKN1C,-0.893,0.893,0.056,0.036751902,0.190446351
CLRN1-AS1,0.893,0.893,-3.458,0.163580041,0.472249431
ADAMTS15,0.892,0.892,4.905,6.12164E-10,3.34956E-08
CLDN14,0.892,0.892,-1.143,0.000455844,0.006520647
DNAJC3-AS1,0.892,0.892,0.048,0.000524796,0.007355416
A2M,0.892,0.892,-2.251,0.161328965,0.469038472
TRIM55,0.892,0.892,-3.274,0.185396033,0.505470408
APOA5,0.892,0.892,-3.568,0.216376884,0.547786753
NATD1,-0.891,0.891,2.229,3.42959E-07,1.14915E-05
NUGGC,0.891,0.891,-1.396,0.000627151,0.008584204
SLC25A45,0.891,0.891,0.005,0.00114371,0.014076185
LOC107985579,0.891,0.891,-1.713,0.002229279,0.024228681
LOC101928942,0.891,0.891,-3.302,0.064757828,0.274279341
KCNH2,0.891,0.891,-3.69,0.12618905,0.410257537
TRPV2,0.89,0.89,-0.322,0.00063085,0.00862421
LIN28A,0.89,0.89,-0.515,0.017732831,0.114214913
LINC01842,0.89,0.89,-2.602,0.02062763,0.127822257
ARSF,0.89,0.89,-3.484,0.040693044,0.202598829
TNFRSF13B,0.89,0.89,-3.57,0.144850115,0.441446151
LOC105374580,0.89,0.89,-3.649,0.169862433,0.481710992
LOC100288175,0.889,0.889,-0.232,9.82052E-06,0.00023135
LINC01119,0.889,0.889,-2.497,0.031931665,0.172594146
SLC30A10,0.889,0.889,-2.82,0.041079467,0.203837473
STX11,0.888,0.888,-0.765,1.28125E-05,0.00029283
CXCL3,0.888,0.888,3.33,0.004637078,0.042628183
PLCL1,0.888,0.888,-3.301,0.114775545,0.388738944
MIR544B,-0.888,0.888,-3.736,0.357258736,0.701707928
NUTM1,0.887,0.887,-2.725,0.034888778,0.183618624
FRMPD1,0.887,0.887,-1.63,0.052569849,0.240296132
SPDYE6,-0.887,0.887,-1.871,0.091762145,0.340062109
BTN3A3,0.886,0.886,2.984,9.04943E-06,0.000216165
LNX1,0.886,0.886,0.717,0.000123926,0.002150786
LINC00426,0.885,0.885,-1.267,0.000716319,0.009586155
RARRES1,0.885,0.885,-1.71,0.067070251,0.280820824
PEBP4,0.885,0.885,-3.628,0.189749555,0.512683821
WASIR2,0.884,0.884,-3.436,0.082825822,0.320541104
TMEM266,0.883,0.883,-0.531,3.63483E-05,0.000742849
LINC00278,0.883,0.883,-1.837,0.011750952,0.085191549
LINC01482,0.883,0.883,-1.473,0.011794448,0.085394445
LOC389199,0.883,0.883,-2.113,0.021747751,0.132306948
TINAG,0.883,0.883,-3.31,0.105230592,0.370588942
MIR3613,-0.883,0.883,-3.282,0.174097516,0.48924333
SOX18,0.883,0.883,-3.784,0.243189645,0.583208831
NFKBIA,0.882,0.882,6.684,1.0102E-06,3.07841E-05
COL2A1,0.882,0.882,-0.309,0.009337122,0.072323625
GUSBP3,0.882,0.882,-2.53,0.104305575,0.368151946
DRICH1,0.882,0.882,-3.739,0.305160594,0.650395773
KIRREL3-AS2,-0.882,0.882,-3.841,0.446688526,0.772975961
PPIAL4G,0.881,0.881,-1.033,0.000496325,0.007036288
RNU5F-1,0.881,0.881,2.26,0.000498744,0.007066071
PLS3-AS1,0.881,0.881,-1.247,0.002120226,0.023317233
CEACAM5,-0.881,0.881,1.106,0.002274698,0.024601961
LOC339666,0.881,0.881,-2.768,0.046231876,0.220584435
MIR3197,0.881,0.881,-3.728,0.210327176,0.539175126
FGF13,0.88,0.88,1.568,0.000801946,0.010591691
LINC01864,0.88,0.88,-2.433,0.011346896,0.083246795
EFHD1,-0.88,0.88,-2.573,0.061833649,0.266689866
ANO2,0.88,0.88,-3.655,0.180787713,0.498597026
GALNT12,0.879,0.879,1.497,7.68374E-07,2.40753E-05
SYT14,0.879,0.879,-1.137,0.000256539,0.00399651
CYP1B1-AS1,0.879,0.879,-0.482,0.00110532,0.013717695
MAB21L2,0.879,0.879,-2.418,0.021817077,0.132422504
LINC00269,0.878,0.878,-2.672,0.010213034,0.07722347
LINC00698,0.878,0.878,-3.548,0.217209057,0.548959267
CFAP206,0.877,0.877,-1.708,0.014940639,0.101235121
HNF4A,0.877,0.877,-1.512,0.026387723,0.150811232
P2RX3,0.877,0.877,-2.971,0.077320755,0.307277384
LCE1B,0.877,0.877,-3.52,0.150446718,0.450609928
ADIG,0.877,0.877,-3.548,0.198036632,0.523563203
MIR6851,0.877,0.877,-3.827,0.315150271,0.660009203
PGLYRP3,-0.876,0.876,-1.956,0.006568327,0.055906274
SLFN12L,0.876,0.876,-1.114,0.018360154,0.117237948
LOC100505658,0.876,0.876,-2.142,0.022316606,0.134572044
LOC107984895,0.876,0.876,-3.297,0.105140061,0.37039113
LOC105372430,-0.876,0.876,-3.176,0.120380688,0.399023723
EFHC2,-0.875,0.875,-0.661,0.001736647,0.019764149
HSPB9,0.875,0.875,-2.059,0.009488365,0.073158976
LINC00864,0.875,0.875,-2.371,0.012406867,0.088424305
SLC7A9,0.875,0.875,-2.529,0.013784104,0.095322908
SCG3,0.875,0.875,-2.583,0.016761189,0.109902539
HTN3,0.875,0.875,-3.126,0.07673702,0.305887833
RAMP2-AS1,0.874,0.874,-0.814,0.000574613,0.007963217
TRIM58,0.874,0.874,-2.23,0.010138747,0.076827897
LINC01480,0.874,0.874,-2.675,0.016777956,0.109972174
MIR4514,0.874,0.874,-3.646,0.17779315,0.4939412
LOC100507384,0.873,0.873,-2.037,0.00261148,0.027300724
LOC643201,0.873,0.873,-2.02,0.005397758,0.048060598
LINC00485,0.873,0.873,-2.999,0.083056812,0.320888188
LILRB2,0.873,0.873,-3.762,0.172909751,0.487646326
MCEMP1,-0.873,0.873,-3.029,0.183270468,0.502290462
NPY1R,0.873,0.873,-3.023,0.226798185,0.561185305
MIR4766,0.872,0.872,-3.33,0.098768849,0.35607757
STPG3-AS1,0.871,0.871,-2.878,0.121639848,0.401519945
TEX12,0.871,0.871,-3.646,0.150903197,0.45135254
SOSTDC1,0.871,0.871,-3.761,0.267077881,0.610907653
ALPK2,0.87,0.87,-2.674,0.083225777,0.321272988
CLLU1OS,0.87,0.87,-3.595,0.231285359,0.567249128
CFLAR,0.869,0.869,6.796,8.74867E-17,1.06203E-14
CA6,0.869,0.869,-1.632,0.001951622,0.021808493
JAKMIP2-AS1,0.869,0.869,-3.159,0.029771045,0.16443654
LOC101929469,0.869,0.869,-3.254,0.107890834,0.37584117
LRIT2,0.869,0.869,-3.83,0.36360233,0.707925132
LOC105371430,-0.869,0.869,-3.696,0.427693148,0.75936727
GABRA3,-0.869,0.869,-2.811,0.487417701,0.800057944
TAPBPL,0.868,0.868,2.526,4.08903E-07,1.34774E-05
LOC105373354,0.868,0.868,-1.607,0.000348812,0.005204074
SALL2,-0.868,0.868,0.518,0.016074587,0.106769751
KSR2,0.868,0.868,-2.397,0.025193238,0.146165524
ULK4P3,0.868,0.868,-3.377,0.04805293,0.226034874
IGFL3,-0.868,0.868,-2.696,0.063098934,0.270241533
CLCNKB,0.868,0.868,-3.125,0.125111315,0.408187379
ADGRE1,0.868,0.868,-3.444,0.239077325,0.57790352
KCNS2,-0.867,0.867,-1.885,0.023469787,0.139332259
LOC100131635,0.867,0.867,-3.108,0.100388753,0.35966439
PIWIL1,-0.867,0.867,-3.1,0.198751384,0.524627138
LINC01793,-0.867,0.867,-3.592,0.228843333,0.564204643
PSME2,0.866,0.866,6.157,1.66582E-10,9.76416E-09
PCGF5,0.866,0.866,3.544,4.12114E-06,0.000107961
PRND,0.866,0.866,-2.849,0.05969356,0.261453554
ZMIZ1-AS1,-0.866,0.866,-2.719,0.078266695,0.309651761
KIF25-AS1,0.866,0.866,-3.355,0.105725089,0.371329469
PHKG1,0.865,0.865,0.146,0.00022114,0.003539355
MIR137HG,0.865,0.865,-0.995,0.000663138,0.009010166
GPR61,0.865,0.865,-0.375,0.004575255,0.042156488
LINC01448,0.865,0.865,-2.48,0.014766433,0.100378305
HLA-DPB1,0.865,0.865,-3.858,0.258086846,0.601346981
CLEC19A,-0.865,0.865,-3.839,0.547043059,0.841089606
FAM171A1,-0.864,0.864,2.892,2.15042E-07,7.44106E-06
LINC01314,0.864,0.864,-1.794,0.004627576,0.042567955
RPL29P2,0.864,0.864,-3.249,0.110911743,0.381582982
GZMM,0.864,0.864,-3.718,0.20851577,0.536380018
LOC101927196,-0.864,0.864,-3.46,0.298557372,0.643297919
CEACAM6,-0.863,0.863,2.543,7.50633E-06,0.000182084
WDR72,0.863,0.863,-1.338,0.030898071,0.168690256
KCND1,0.863,0.863,-1.756,0.033625848,0.178690224
ROPN1,0.863,0.863,-2.939,0.05832629,0.257393429
CHRM2,0.863,0.863,-3.316,0.120662227,0.399599191
TMEM59L,0.863,0.863,-3.658,0.145003911,0.441446151
LOC100506585,-0.863,0.863,-3.454,0.374016233,0.71568233
GLRA2,-0.863,0.863,-3.145,0.528627575,0.8282876
ONECUT3,0.862,0.862,-1.19,0.000446855,0.006417035
ELFN2,-0.862,0.862,-3.279,0.287709193,0.632841319
ALDH3B2,-0.861,0.861,2.303,0.002297621,0.024753645
TCP10,0.861,0.861,-3.724,0.269619029,0.614084097
KCNK13,0.861,0.861,-3.718,0.384872999,0.724717456
KRT26,0.86,0.86,-2.927,0.039183079,0.198100159
LOC100129917,0.858,0.858,0.817,1.72058E-05,0.000383377
TTYH2,0.858,0.858,-0.18,0.001059863,0.013242323
C1orf64,0.858,0.858,-2.35,0.004655574,0.042701722
TUBB1,0.858,0.858,-1.32,0.005737954,0.05050263
C8orf74,0.858,0.858,-1.568,0.020863932,0.128533623
SNORD116-23,0.858,0.858,-3.06,0.04232379,0.207554746
LINC00575,0.858,0.858,-2.897,0.066151686,0.278431166
CCDC172,0.858,0.858,-3.297,0.107315756,0.374963749
LOC101928075,0.858,0.858,-3.328,0.121258248,0.400736681
BTNL2,0.858,0.858,-3.932,0.467502754,0.787322696
IRF2,0.857,0.857,4.327,6.00808E-08,2.32931E-06
OCLN,0.857,0.857,2.741,1.63421E-07,5.83664E-06
CCDC81,0.857,0.857,-1.127,0.001919474,0.021514182
ITGAD,0.857,0.857,-3.562,0.27736245,0.622007555
LINC00634,0.857,0.857,-2.245,0.301801839,0.646531132
LINC00240,0.856,0.856,-0.418,3.76537E-06,9.94622E-05
PLPPR5,-0.856,0.856,-1.657,0.023191868,0.138347841
VARS,-0.856,0.856,1.921,0.086716579,0.329188108
PLAC8L1,0.855,0.855,-2.638,0.01114431,0.082140296
LOC107985075,-0.855,0.855,-2.937,0.080864811,0.316269678
DNAH3,0.854,0.854,-0.406,0.000116531,0.002039456
CSF3,0.854,0.854,4.067,0.000407095,0.005941934
MIR4482,0.854,0.854,-2.39,0.009894266,0.075507079
MIR5581,-0.854,0.854,-3.211,0.101805828,0.362787371
PGM5-AS1,0.854,0.854,-3.455,0.129480778,0.416425463
NME8,0.854,0.854,-3.182,0.145022463,0.441446151
MIR708,-0.854,0.854,-3.855,0.557534098,0.845896735
WBP2NL,0.853,0.853,-1.908,0.009941136,0.075636467
CARNS1,0.853,0.853,-1.244,0.018397215,0.11738556
FAM90A1,0.853,0.853,-2.393,0.033075777,0.176756889
CLEC4E,0.853,0.853,-2.164,0.036105669,0.188195079
SOWAHA,0.853,0.853,-3.312,0.067398962,0.281706103
PCDHA13,-0.853,0.853,-2.923,0.296545018,0.641400852
MIR1276,-0.853,0.853,-3.768,0.489822595,0.800987041
C6orf201,0.852,0.852,-2.123,0.090473557,0.33790687
CDH18,0.852,0.852,-2.175,0.100395178,0.35966439
UROC1,0.852,0.852,-3.34,0.15694354,0.461091623
LRAT,0.851,0.851,0.015,0.005572016,0.049354999
CMYA5,0.851,0.851,-1.035,0.013695209,0.094896776
SCN2B,-0.85,0.85,0.075,2.20451E-05,0.000476857
RIPOR2,0.85,0.85,-0.432,0.000154063,0.00258199
BEST3,0.85,0.85,-0.869,0.002400186,0.025653249
LOC102724919,0.85,0.85,-2.314,0.012237813,0.087528336
POU6F2,0.85,0.85,-3.013,0.056112389,0.251267227
DSCAM-IT1,0.85,0.85,-3.396,0.149411694,0.448780529
TBR1,0.85,0.85,-2.126,0.157117816,0.461091623
FFAR2,0.849,0.849,-1.616,0.024289528,0.142598275
MIR4434,0.849,0.849,-3.6,0.164668309,0.474093635
IPO9-AS1,-0.849,0.849,-3.303,0.166050373,0.476055726
DOC2A,0.847,0.847,-1.01,0.003228723,0.032090358
MUC15,0.847,0.847,-1.34,0.006918081,0.058039714
LOC340017,0.847,0.847,-2.258,0.024393337,0.142848292
IL1F10,0.847,0.847,-1.818,0.039843452,0.200208613
TNFRSF8,0.847,0.847,-3.261,0.091443857,0.339302447
MIR210,-0.847,0.847,-2.909,0.101072977,0.361218819
CFAP65,0.846,0.846,-2.597,0.087966198,0.331608535
RIMBP2,0.846,0.846,-3.161,0.244167169,0.584288216
TAS2R60,0.846,0.846,-3.791,0.30873084,0.652875355
SNORD9,0.845,0.845,-2.331,0.007577348,0.062266145
ZMYND12,-0.845,0.845,-1.751,0.032239785,0.174005543
LOC101928443,0.845,0.845,-1.8,0.05000866,0.231687671
LKAAEAR1,-0.845,0.845,-3.638,0.449721635,0.775303905
SOX2-OT,0.844,0.844,-0.774,0.000417394,0.006052404
LINC01381,0.844,0.844,-3.149,0.081996077,0.318493659
NLRP11,0.844,0.844,-3.196,0.117334928,0.393388988
LINC01327,0.844,0.844,-3.457,0.201021013,0.527585103
CPEB3,0.843,0.843,0.602,3.9408E-06,0.000103726
BTBD19,0.843,0.843,0.518,0.000621302,0.008519894
DLX1,0.843,0.843,-2.05,0.007114834,0.059352624
GPI,-0.843,0.843,0.524,0.034862604,0.183591647
TMOD4,0.843,0.843,-2.521,0.041741718,0.205744902
SELENOV,0.843,0.843,-3.24,0.09822963,0.354824591
KIF5A,0.843,0.843,-0.417,0.124271284,0.406282057
CHSY3,0.842,0.842,-0.294,0.000335367,0.005037312
TTLL13P,0.842,0.842,-0.744,0.004992404,0.045154068
PLAC9,0.842,0.842,-2.347,0.010460118,0.07855697
TTN,0.842,0.842,2.545,0.069021936,0.286067595
NRXN3,0.842,0.842,-0.948,0.163067825,0.471777787
KRT8P41,0.842,0.842,-3.568,0.279552205,0.62453556
LCE3A,-0.842,0.842,-3.776,0.280181307,0.62511075
FSHR,-0.842,0.842,-3.701,0.386608292,0.726316575
SNORD12,-0.842,0.842,-3.692,0.549303938,0.842258928
ANKFY1,0.841,0.841,5.802,1.40098E-10,8.34389E-09
NEK5,0.841,0.841,-1.281,0.003010862,0.030430529
LILRA2,0.841,0.841,-2.375,0.020480745,0.127177097
PTGDS,0.841,0.841,-2.701,0.040416303,0.201763633
LOC105373185,0.841,0.841,-3.479,0.105252054,0.370588942
FOS,0.84,0.84,6.064,0.001507668,0.017600021
CCNYL2,0.84,0.84,-2.349,0.020749306,0.128003773
