GENE_SYMBOL,adj.P.Val,P.Value,t,B,logFC,abs_logFC
ADCY5,0.18912229,0.112175503,1.722894989,-5.658070104,0.093436487,0.093436487
C6orf64,0.27211023,0.175631378,-1.445097048,-6.046218339,-0.093424472,0.093424472
LINGO1,0.587109657,0.473324581,0.741879121,-6.790827547,0.093381383,0.093381383
UCP3,0.342255919,0.234433306,1.256209391,-6.283239112,0.093309927,0.093309927
IQSEC3,0.222737169,0.137171948,1.600176502,-5.834832614,0.093294766,0.093294766
CLPX,0.235514405,0.146966178,-1.557422411,-5.894507893,-0.093243396,0.093243396
RAB6A,0.452857967,0.336136626,1.004634818,-6.558886997,0.093224278,0.093224278
VN1R1,0.112441604,0.059751179,-2.092609799,-5.083729368,-0.093212714,0.093212714
ZBTB33,0.303812987,0.20186244,-1.355221543,-6.161968263,-0.09319268,0.09319268
HBB,0.114153054,0.060841267,2.082231852,-5.100578639,0.09317359,0.09317359
LINC00200,0.350681399,0.241634866,1.235840703,-6.307334793,0.093159887,0.093159887
CFLAR-AS1,0.292200239,0.192074544,-1.387546436,-6.120939387,-0.093150474,0.093150474
CD2AP,0.298411987,0.197242043,1.370314142,-6.142897451,0.093143506,0.093143506
LOC283922,0.191065951,0.113574703,-1.715411923,-5.669070689,-0.093138903,0.093138903
TNNI3K,0.110296398,0.058365595,2.106061367,-5.061835743,0.093131691,0.093131691
SEMA7A,0.328639852,0.22264346,-1.290672004,-6.241798971,-0.093115756,0.093115756
FAM201B,0.452358191,0.335643263,-1.005705322,-6.557819975,-0.093064861,0.093064861
OR56A5,0.208183768,0.126190096,1.651422654,-5.761979167,0.093046943,0.093046943
PMCHL1,0.643770684,0.537132665,-0.636531083,-6.8661122,-0.093042609,0.093042609
GPR172B,0.478377942,0.361471327,0.951133283,-6.610995244,0.093023123,0.093023123
HNRNPH3,0.2196608,0.134807507,-1.610896958,-5.81970973,-0.093014294,0.093014294
HAPLN4,0.203551465,0.122821571,1.667931685,-5.738211126,0.093012298,0.093012298
SFRP2,0.473328029,0.356351776,-0.961721632,-6.600873817,-0.092960627,0.092960627
CFHR5,0.522681123,0.406511043,-0.862242784,-6.692156378,-0.092939219,0.092939219
TMEM171,0.184576478,0.108824781,1.741160827,-5.631102065,0.092918436,0.092918436
TMEM110,0.387062457,0.274801075,-1.147824704,-6.407958847,-0.092845627,0.092845627
UBE2G1,0.320016854,0.215291908,1.312919327,-6.214606459,0.092833068,0.092833068
BANK1,0.33580845,0.228657754,-1.272911986,-6.263259382,-0.092824033,0.092824033
EIF4G3,0.28810715,0.188684194,1.399063977,-6.106155311,0.092815596,0.092815596
IRF3,0.433438916,0.317328547,1.046291584,-6.516671436,0.092813968,0.092813968
OR2B3,0.128933901,0.07041173,-1.997942878,-5.23602249,-0.092771233,0.092771233
LOC100505564,0.673524703,0.57133257,0.583048551,-6.900235505,0.092732563,0.092732563
ADAMTS5,0.452823551,0.336071583,1.004775883,-6.558746444,0.092722888,0.092722888
BAHCC1,0.423388386,0.308072212,-1.067470032,-6.494668435,-0.092722761,0.092722761
OR5H15,0.261453911,0.167167473,1.47651984,-6.004542269,0.09270991,0.09270991
CA14,0.172745829,0.100356281,1.789685649,-5.558677142,0.09269699,0.09269699
LOC391767,0.545081062,0.429474747,0.81950237,-6.72870164,0.092693948,0.092693948
LMX1B,0.361875307,0.252031332,1.207275149,-6.340621226,0.092688189,0.092688189
SETD4,0.324202994,0.218777888,-1.302293964,-6.227636358,-0.092642003,0.092642003
ZNF295,0.367410711,0.256798014,1.194490065,-6.355325347,0.092595042,0.092595042
PRRG1,0.551714208,0.43612372,0.807412035,-6.738741037,0.092573248,0.092573248
ATOH7,0.51146407,0.395134357,0.884023913,-6.672906803,0.092545206,0.092545206
FAM48B2,0.531775155,0.415609545,-0.845119541,-6.706994036,-0.092540464,0.092540464
SEC14L2,0.52303201,0.406814594,0.861667347,-6.692659243,0.092521869,0.092521869
TAF1C,0.302024639,0.200337907,1.360169462,-6.155732787,0.092514286,0.092514286
SIGLEC12,0.246337589,0.155365847,1.522685809,-5.942225217,0.092493152,0.092493152
RPL8,0.303281178,0.201393561,-1.356739996,-6.160056408,-0.09247637,0.09247637
CCL14,0.627928533,0.519443562,-0.664953325,-6.846845326,-0.092467024,0.092467024
AATF,0.279598203,0.181638045,-1.423567371,-6.074418298,-0.092455472,0.092455472
PPP1R14D,0.587777866,0.474156083,0.740452424,-6.791917278,0.092444797,0.092444797
MLLT11,0.324751626,0.219228997,1.300929103,-6.229304443,0.092435353,0.092435353
C7orf31,0.176630515,0.103099594,-1.773574488,-5.582847609,-0.092409455,0.092409455
CHM,0.199111558,0.119471602,1.684753179,-5.713847401,0.092408081,0.092408081
RNF212,0.385984393,0.273854722,1.150217332,-6.405300255,0.092403631,0.092403631
FAM134C,0.545131309,0.429546284,0.819371635,-6.728810906,0.092397169,0.092397169
LOC93622,0.320616168,0.215826625,1.311280401,-6.216621346,0.092385576,0.092385576
FLJ41278,0.295131916,0.194555124,-1.37922671,-6.131565003,-0.092353836,0.092353836
CTTNBP2NL,0.197429359,0.118149846,1.691505867,-5.704026099,0.092333928,0.092333928
ZSCAN29,0.35529943,0.24579507,1.224294704,-6.320860552,0.092325955,0.092325955
SCAMP5,0.362826175,0.252852431,-1.205059253,-6.343178373,-0.092324401,0.092324401
GNA15,0.478449846,0.361567719,0.950934955,-6.611183918,0.092292992,0.092292992
DEFB136,0.189390605,0.112379047,-1.721801237,-5.659679724,-0.092289098,0.092289098
CECR5-AS1,0.646785556,0.540576799,0.631060156,-6.86973109,0.092287232,0.092287232
PIGX,0.200168803,0.120293667,1.680586816,-5.719895428,0.092283677,0.092283677
DBNDD2,0.179965764,0.105484079,-1.759882211,-5.603292847,-0.092278908,0.092278908
PLCL2,0.298629937,0.197416191,-1.369739985,-6.143625708,-0.092241622,0.092241622
LRCH2,0.200345717,0.120423468,1.679931282,-5.72084621,0.092234349,0.092234349
LOC440040,0.193422113,0.115224648,1.706693088,-5.681852701,0.092233399,0.092233399
DEFB112,0.342551442,0.234667863,1.25553811,-6.284037958,0.092198234,0.092198234
HIST4H4,0.277648752,0.180101105,1.429018262,-6.067306232,0.092197923,0.092197923
SLC1A2,0.222296244,0.136802699,-1.601839958,-5.832490188,-0.092181123,0.092181123
PAQR5,0.729730093,0.638532541,-0.482710981,-6.956598846,-0.092103698,0.092103698
HM13,0.146428687,0.082235538,-1.90744785,-5.378455472,-0.092083971,0.092083971
MTM1,0.177300469,0.103573773,-1.770829041,-5.586954234,-0.092078513,0.092078513
LOC285205,0.14701671,0.082617472,-1.904730131,-5.382682083,-0.092069106,0.092069106
AANAT,0.721043927,0.628142994,-0.497864051,-6.948735695,-0.092039659,0.092039659
KLHL10,0.533302396,0.417162583,-0.842222052,-6.709478887,-0.092024745,0.092024745
GCNT6,0.212483408,0.129412713,-1.635989719,-5.784067896,-0.092023411,0.092023411
RBM42,0.225170426,0.139083026,1.591629323,-5.846844367,0.092017885,0.092017885
FAM122A,0.22742263,0.140806525,1.584008746,-5.857519717,0.091996112,0.091996112
ST6GALNAC5,0.344521455,0.236451534,-1.250450979,-6.290081348,-0.091992697,0.091992697
GAGE7,0.179135125,0.104892232,-1.763254486,-5.598265668,-0.091971489,0.091971489
PSG9,0.225145361,0.13905746,-1.591742986,-5.846684898,-0.091968095,0.091968095
C8orf22,0.253957486,0.16128797,1.499156959,-5.974144984,0.091953532,0.091953532
ZNF608,0.271170543,0.174873892,1.447856186,-6.04258336,0.091943079,0.091943079
TUBA1B,0.22367707,0.137960519,-1.596637107,-5.839811596,-0.09193445,0.09193445
SIGLEC11,0.687582201,0.58764937,0.558149002,-6.915161432,0.091883014,0.091883014
DCAF12,0.26713755,0.17166251,1.459667493,-6.026969283,0.091823191,0.091823191
WNT6,0.406076554,0.292036712,1.105323314,-6.454450576,0.091807588,0.091807588
ST3GAL3,0.28294162,0.184429816,1.413764799,-6.087160765,0.091797981,0.091797981
PPHLN1,0.303726619,0.201796154,-1.355436029,-6.161698301,-0.09178454,0.09178454
PLAC8L1,0.360267189,0.25044042,-1.211584877,-6.335637451,-0.091773027,0.091773027
LOC100506220,0.612467319,0.501466927,0.694426108,-6.826046523,0.091713622,0.091713622
PRPF6,0.409460791,0.295478387,1.097068281,-6.463317751,0.09169485,0.09169485
FAM86B1,0.378424793,0.266862964,-1.168096698,-6.385295699,-0.091690728,0.091690728
COL4A5,0.439610513,0.323199454,-1.033096872,-6.530196619,-0.091637868,0.091637868
PRPH2,0.475154681,0.358325691,-0.95762634,-6.604799794,-0.091618954,0.091618954
STRA8,0.156900668,0.089532734,-1.857420282,-5.45575956,-0.091592058,0.091592058
IL12B,0.169094478,0.097739552,1.805429353,-5.534941235,0.091550663,0.091550663
PLA2G7,0.207015536,0.125306061,-1.655717142,-5.755810155,-0.091550387,0.091550387
CXXC1P1,0.432529712,0.316336924,-1.048538134,-6.514354555,-0.091546069,0.091546069
MTSS1L,0.284776022,0.18601773,1.408244836,-6.094309233,0.091543886,0.091543886
CNTRL,0.622407421,0.513234894,-0.675062964,-6.839804623,-0.091474067,0.091474067
CCDC79,0.188979355,0.112072397,1.723449709,-5.657253522,0.09145157,0.09145157
LOC100129240,0.163037465,0.093550551,1.831447882,-5.495466305,0.091450715,0.091450715
WIBG,0.239801346,0.150414264,-1.542960053,-5.914459578,-0.0914501,0.0914501
LOC145678,0.155981998,0.088857679,-1.86188818,-5.448899174,-0.091443674,0.091443674
PNMA6A,0.426608144,0.310840042,-1.061087841,-6.501337065,-0.091438788,0.091438788
ERLIN2,0.201962645,0.121608415,-1.673975786,-5.72947387,-0.09140316,0.09140316
GPR161,0.688480163,0.588820304,0.556376349,-6.916200575,0.091375602,0.091375602
ZSCAN20,0.412156371,0.297822138,-1.091488502,-6.46928095,-0.091355583,0.091355583
CRYBA1,0.23532895,0.146829763,-1.558000612,-5.893707736,-0.091342772,0.091342772
SNX1,0.453751025,0.337132212,1.002478079,-6.561033838,0.091300388,0.091300388
FLJ45340,0.483412537,0.366692072,-0.940445191,-6.621115293,-0.091251791,0.091251791
PLK5,0.196537378,0.117512386,-1.69478666,-5.699246026,-0.091236616,0.091236616
PLP2,0.445679734,0.328967459,-1.020305351,-6.543173054,-0.091214706,0.091214706
RBBP7,0.178781033,0.104674417,1.764499894,-5.596407717,0.091206964,0.091206964
HAGH,0.206827989,0.125172644,-1.656367586,-5.754874949,-0.091196482,0.091196482
GAB4,0.267704414,0.17210522,1.458028128,-6.029141623,0.091186243,0.091186243
LOC100129463,0.311041966,0.207692043,-1.336582111,-6.185311094,-0.091180925,0.091180925
MRPL49,0.231909461,0.14430209,1.568799702,-5.878728186,0.091165462,0.091165462
AKR1C4,0.18649416,0.110212272,1.733536791,-5.642378255,0.091161913,0.091161913
ABHD1,0.460831226,0.343837592,0.988071962,-6.575274785,0.091130475,0.091130475
LOC100131635,0.16489252,0.094784088,1.823677896,-5.507286852,0.091110588,0.091110588
GLIPR2,0.646902691,0.540693655,0.630874882,-6.869853135,0.091077908,0.091077908
OR51F2,0.338054374,0.23065112,-1.267109165,-6.270223161,-0.091073562,0.091073562
C1orf52,0.408936962,0.294932618,-1.098372428,-6.461920455,-0.091072104,0.091072104
SLC4A9,0.255584474,0.162553433,1.494225709,-5.980793025,0.091027684,0.091027684
TTC34,0.494786576,0.37845149,0.916759387,-6.643193386,0.091016329,0.091016329
CEACAM6,0.441992879,0.32543016,1.028130046,-6.535251135,0.090999108,0.090999108
DYNC1LI2,0.348035521,0.239383414,1.242155697,-6.299896185,0.090998552,0.090998552
LRRC37B,0.223591927,0.137888349,1.596960294,-5.839357246,0.090979888,0.090979888
C11orf41,0.358075884,0.248251396,1.217550541,-6.328716263,0.090965467,0.090965467
GNG7,0.517972484,0.401677822,-0.871444657,-6.684075134,-0.090949503,0.090949503
SFRP1,0.398334293,0.284986377,1.122469009,-6.435863303,0.090932683,0.090932683
FADS6,0.543975077,0.428411958,0.821446339,-6.727075079,0.090837659,0.090837659
GCC2,0.322714362,0.217513281,-1.306132414,-6.222938238,-0.09083404,0.09083404
TCEAL6,0.198419328,0.11890508,1.687639282,-5.709652623,0.090832094,0.090832094
FCRL6,0.276836484,0.17946876,1.431272339,-6.064359728,0.090802903,0.090802903
RILPL2,0.325461107,0.219803311,-1.299194787,-6.231422202,-0.09078566,0.09078566
HCP5B,0.523763377,0.407475537,-0.860415416,-6.69375227,-0.090781194,0.090781194
NUDT18,0.368986544,0.258302474,-1.190493774,-6.359896649,-0.090770299,0.090770299
RRP9,0.244436645,0.153923389,1.528533617,-5.934241241,0.090753507,0.090753507
LOC100129148,0.319499594,0.214766041,-1.314534384,-6.212619112,-0.090711965,0.090711965
RNGTT,0.350447794,0.241422558,-1.23643418,-6.306636944,-0.090649184,0.090649184
LOC100132005,0.785698508,0.707984076,-0.384186039,-7.001997001,-0.090639264,0.090639264
BAZ1A,0.354919831,0.24547053,1.225189781,-6.319815461,0.090634196,0.090634196
CHMP4B,0.469083358,0.352097745,0.970603134,-6.592310791,0.090603306,0.090603306
NIPBL,0.161360796,0.092451363,1.838450652,-5.484789802,0.090597822,0.090597822
ANGPTL1,0.253893359,0.161239804,-1.499345308,-5.973890773,-0.090577195,0.090577195
LOC100507421,0.498306502,0.381990694,0.909732074,-6.649650599,0.090567795,0.090567795
TTTY20,0.285375926,0.186509938,1.406541846,-6.0965107,0.090531548,0.090531548
GAS8,0.510590541,0.394309893,0.88561899,-6.671480685,0.090527654,0.090527654
C11orf49,0.276631544,0.179319689,-1.431804698,-6.063663367,-0.090488031,0.090488031
N4BP2,0.230639701,0.143343044,-1.572940203,-5.872967308,-0.090466569,0.090466569
PPP1R1B,0.25945096,0.165613143,1.482437196,-5.996626321,0.090449796,0.090449796
MYOZ2,0.414038684,0.299594786,1.087290471,-6.473751265,0.090415455,0.090415455
FRMD5,0.545563364,0.430166126,0.818239461,-6.729756512,0.090407695,0.090407695
AATK,0.136055441,0.075233751,1.95945246,-5.296998243,0.090407293,0.090407293
FAM65B,0.307051811,0.204567067,-1.346519257,-6.172895454,-0.090396714,0.090396714
CAGE1,0.147928753,0.083242704,-1.900306037,-5.389555889,-0.090376789,0.090376789
MAFIP,0.36880982,0.25800585,-1.191280239,-6.35899796,-0.090352598,0.090352598
PKN2,0.241650616,0.151793719,-1.537254563,-5.92229746,-0.090332352,0.090332352
HELT,0.431079067,0.315082962,1.051386557,-6.511411095,0.090327103,0.090327103
TRPC2,0.282396009,0.183966597,1.415382585,-6.085062006,0.090316047,0.090316047
HYDIN2,0.272974754,0.176261367,-1.44280999,-6.049227785,-0.090308884,0.090308884
LOC643355,0.17602396,0.102693834,1.775932868,-5.579317112,0.090296174,0.090296174
OR5AK2,0.153424518,0.087099558,1.873671932,-5.430763983,0.090259169,0.090259169
LCN6,0.334441944,0.227544393,1.27617089,-6.259338055,0.090248893,0.090248893
NODAL,0.198893164,0.119276452,1.685745977,-5.712404909,0.090245701,0.090245701
VPS26A,0.327275736,0.221431615,-1.294297638,-6.237390813,-0.090242136,0.090242136
SESTD1,0.247709104,0.156405069,-1.518501706,-5.947925422,-0.090227902,0.090227902
LOC338667,0.475046188,0.358188194,-0.957911081,-6.604527285,-0.090227868,0.090227868
CYP24A1,0.623675732,0.514685665,-0.672694223,-6.841463088,-0.09022119,0.09022119
NBPF7,0.143258754,0.080006112,-1.923547686,-5.353354479,-0.09021009,0.09021009
ZCCHC18,0.398329221,0.284971077,1.12250657,-6.435822333,0.090164314,0.090164314
RANBP3L,0.356546906,0.246836148,-1.221429766,-6.324201732,-0.090146042,0.090146042
C21orf116,0.166424207,0.095903492,1.816706071,-5.517870012,0.090145767,0.090145767
C20orf112,0.401512487,0.287848463,1.115469923,-6.443478507,0.090063716,0.090063716
ICAM5,0.210596926,0.127980876,-1.642804302,-5.774329982,-0.090059459,0.090059459
ZBTB38,0.390259989,0.277711602,-1.140505976,-6.416063971,-0.090034236,0.090034236
TIMM8A,0.227919475,0.141184918,1.582346571,-5.859843884,0.089983617,0.089983617
C3orf20,0.408940191,0.29494693,1.098338206,-6.461957138,0.089982654,0.089982654
SRY,0.350771285,0.241707081,-1.235638934,-6.307571988,-0.08995819,0.08995819
FAM193A,0.372300988,0.261299067,1.182588261,-6.368904641,0.089939535,0.089939535
RANGRF,0.271330726,0.174995403,-1.447412901,-6.043167677,-0.089935778,0.089935778
C17orf62,0.204008368,0.123127153,-1.666417594,-5.740396899,-0.089908834,0.089908834
MMP1,0.554981582,0.439595872,-0.801146409,-6.743891557,-0.089896556,0.089896556
MYH2,0.234313276,0.146079329,1.561189739,-5.889290964,0.089884963,0.089884963
WTAP,0.151412066,0.085637639,1.88363758,-5.415380371,0.089868514,0.089868514
OR4D2,0.545830776,0.430433318,0.817751753,-6.730163494,0.089853827,0.089853827
XRRA1,0.750383221,0.663926549,0.446157246,-6.974605324,0.089847741,0.089847741
OR14I1,0.473470269,0.356500485,-0.96141254,-6.601170626,-0.089817442,0.089817442
RP11-165H20.1,0.488223029,0.37176281,0.93016701,-6.63075508,0.089789729,0.089789729
NPVF,0.160829837,0.092095311,1.840735288,-5.481301903,0.089765008,0.089765008
CRYGC,0.406432766,0.292425663,1.104386686,-6.455459346,0.089731625,0.089731625
ZBTB16,0.31925228,0.214562379,1.315160748,-6.211847883,0.089712458,0.089712458
C1GALT1,0.46028815,0.343230077,-0.989368703,-6.573999987,-0.08970346,0.08970346
NCAPG2,0.506068048,0.389556879,0.894859669,-6.663174921,0.08969488,0.08969488
LOC100130768,0.322756105,0.217564097,1.305977821,-6.22312765,0.089679062,0.089679062
FAM75D3,0.256290988,0.16311543,1.49204627,-5.983726572,0.089671277,0.089671277
TRPM2,0.608762489,0.497345414,0.701272116,-6.82109679,0.089614115,0.089614115
RASEF,0.198766545,0.119168683,1.686294856,-5.711607195,0.089613129,0.089613129
PPA2,0.4492738,0.33249334,1.012567388,-6.550957746,0.089601354,0.089601354
PBX4,0.666147425,0.562849386,-0.59614549,-6.892138615,-0.089568214,0.089568214
OR10AD1,0.507749802,0.391149011,0.891755666,-6.665973223,0.089553835,0.089553835
CRELD1,0.204785019,0.123729235,1.663444139,-5.744685962,0.089528291,0.089528291
ZZZ3,0.280453406,0.182331283,1.421121463,-6.077603484,0.0895217,0.0895217
LOC286467,0.451871236,0.335122524,1.006836479,-6.556691469,0.089521419,0.089521419
PTPN9,0.373627362,0.262394204,-1.179716896,-6.372164886,-0.0895154,0.0895154
IQCF6,0.178485726,0.104430008,1.765900141,-5.594317889,0.089514239,0.089514239
LINC00165,0.110801371,0.058675019,-2.103031503,-5.066772406,-0.089508692,0.089508692
C9orf68,0.309507465,0.206462257,-1.340477895,-6.180451556,-0.08948646,0.08948646
SMARCAL1,0.555745516,0.440482916,-0.799550897,-6.7451974,-0.08947972,0.08947972
CD300LF,0.335876228,0.228732842,-1.272692658,-6.263523023,-0.089479623,0.089479623
GAL3ST3,0.185059407,0.109197355,-1.739105063,-5.6341454,-0.089452302,0.089452302
TFF1,0.484237689,0.367658533,0.93847849,-6.622966843,0.08944627,0.08944627
LINC00207,0.384006448,0.272031792,-1.154844345,-6.400146528,-0.089392534,0.089392534
NFAM1,0.351955649,0.2428429,1.232471736,-6.311291413,0.089367743,0.089367743
C8orf71,0.384006448,0.272035042,1.154836074,-6.400155755,0.089359691,0.089359691
LOC100132731,0.321354415,0.216483664,1.309271096,-6.219089056,0.089229813,0.089229813
SZT2,0.286702289,0.187519612,1.403060252,-6.101005579,0.089223817,0.089223817
LDLRAD3,0.248014699,0.156627093,-1.517610902,-5.949137675,-0.089180729,0.089180729
LOC730811,0.231508422,0.144026158,1.569988521,-5.877075116,0.089166676,0.089166676
DSCR4,0.528792559,0.412624789,0.850708673,-6.702179663,0.089150567,0.089150567
CLMN,0.509354677,0.392997275,-0.888163232,-6.669201319,-0.089073798,0.089073798
RNFT1,0.290375099,0.190542971,-1.392728179,-6.114298677,-0.089061712,0.089061712
MNDA,0.243207693,0.152964219,1.5324484,-5.928885229,0.089025423,0.089025423
ZNF609,0.471796232,0.354837774,0.964873771,-6.597842334,0.088995928,0.088995928
SETD6,0.201608379,0.12134784,1.675280992,-5.7275846,0.088967298,0.088967298
C14orf21,0.443784889,0.327230725,1.024139297,-6.539297736,0.088946426,0.088946426
ZMYM5,0.291779429,0.191695332,-1.388826192,-6.119300928,-0.0889069,0.0889069
TAC4,0.196853769,0.117753475,1.693543994,-5.701057219,0.088888832,0.088888832
LOC100126584,0.431842767,0.315691779,1.050002549,-6.512842098,0.088856322,0.088856322
GTF2A1,0.559416769,0.444146786,-0.792982835,-6.750548539,-0.088834545,0.088834545
C8B,0.247375862,0.156140163,-1.519565985,-5.946476481,-0.088782835,0.088782835
PABPC5-AS1,0.680005154,0.579400178,0.570690537,-6.907720274,0.088761932,0.088761932
PURA,0.407332882,0.293262487,-1.102374762,-6.457623911,-0.088753448,0.088753448
SIRT7,0.217692773,0.133357315,1.617554131,-5.810287098,0.088751112,0.088751112
PGAP1,0.44166538,0.325150204,-1.028752003,-6.534619301,-0.088744533,0.088744533
LOC100132831,0.490104873,0.37359241,-0.926482792,-6.634188382,-0.088687437,0.088687437
FLJ37644,0.15020268,0.084759962,-1.889695807,-5.40600788,-0.088678874,0.088678874
LARP4B,0.506582797,0.390057027,0.893883642,-6.664055731,0.088606952,0.088606952
ZNF710,0.376581758,0.265120399,-1.172609654,-6.380208116,-0.088597457,0.088597457
CELF2,0.62577377,0.516945941,-0.669011616,-6.844030772,-0.088574964,0.088574964
KCNK2,0.545425181,0.429900783,-0.818723991,-6.729351969,-0.088563165,0.088563165
LOC100128908,0.387635662,0.275387392,-1.14634555,-6.409600239,-0.088524477,0.088524477
ZNF718,0.35087749,0.241821389,-1.235319649,-6.307947271,-0.088518796,0.088518796
PLCXD1,0.387635662,0.275389768,-1.146339559,-6.409606884,-0.088516312,0.088516312
MICALL2,0.47920431,0.362306373,0.949416401,-6.612627443,0.088467324,0.088467324
PBX2,0.449631372,0.332898757,1.011681525,-6.551845814,0.088452645,0.088452645
TRIM43,0.470808376,0.35376503,0.967113062,-6.595683657,0.08837922,0.08837922
NPW,0.496063668,0.379813672,0.914049271,-6.645688709,0.088357038,0.088357038
LOC285627,0.309974924,0.206828581,-1.339315436,-6.18190266,-0.088352693,0.088352693
LOC387810,0.677066659,0.575448133,0.576732667,-6.904079668,0.088295978,0.088295978
LOC100131355,0.576889958,0.462110376,-0.761276398,-6.775823469,-0.088240292,0.088240292
NEDD4,0.524407696,0.408222664,-0.859001896,-6.694984703,-0.088225197,0.088225197
LRRC4B,0.350844682,0.241786005,1.235418472,-6.307831125,0.08820718,0.08820718
SEMA6A,0.322756105,0.217569789,-1.305960506,-6.223148864,-0.088201887,0.088201887
APBB3,0.41402866,0.299551137,1.087393617,-6.473641596,0.088184549,0.088184549
CLASP2,0.191134833,0.113621249,1.715164412,-5.669434069,0.08815294,0.08815294
C17orf42,0.157242711,0.089751687,-1.855977741,-5.457972703,-0.088152506,0.088152506
LINC00477,0.165976541,0.095572568,1.81875938,-5.514755393,0.088152489,0.088152489
LOC100129042,0.170798634,0.098982269,1.797905438,-5.546298904,0.088151335,0.088151335
PINK1,0.423085505,0.307777221,1.068152774,-6.493953119,0.088120008,0.088120008
DNAJC30,0.367910034,0.257182341,-1.193467425,-6.35649626,-0.088112891,0.088112891
SMAD2,0.330448606,0.224156993,-1.286166255,-6.247264432,-0.088111065,0.088111065
CASP7,0.342688906,0.234782117,1.255211319,-6.284426733,0.088095532,0.088095532
HNRNPKP3,0.508935972,0.392465437,0.889195757,-6.668274669,0.088078748,0.088078748
LOC100288615,0.336494143,0.22927589,1.271108188,-6.265426611,0.088025943,0.088025943
DTNBP1,0.308345077,0.205587479,1.343260739,-6.176974023,0.088025662,0.088025662
MTHFD2,0.428418063,0.312573075,-1.057113415,-6.505473356,-0.088020718,0.088020718
CHAT,0.294721646,0.19421558,-1.380360272,-6.130119926,-0.088004547,0.088004547
TC2N,0.271983893,0.175533895,-1.445451562,-6.045751556,-0.08799386,0.08799386
CCDC12,0.276529078,0.179220947,-1.432157531,-6.063201739,-0.087989668,0.087989668
SCARNA23,0.407088749,0.293027079,-1.102940296,-6.457015791,-0.087977053,0.087977053
RPL31,0.301311162,0.19972338,1.362172765,-6.153203552,0.087974924,0.087974924
GLTP,0.577010687,0.46230853,0.760931082,-6.776093632,0.08792593,0.08792593
LOC151760,0.125092388,0.067903317,2.018946592,-5.202512223,0.087920282,0.087920282
SGOL2,0.298998109,0.197778396,-1.368547162,-6.145137979,-0.087917755,0.087917755
ANAPC4,0.192606751,0.114675553,-1.70958222,-5.677621385,-0.08791347,0.08791347
GPR6,0.136167112,0.075323432,1.958758545,-5.298092267,0.087900216,0.087900216
LOC100129112,0.345577125,0.237317828,1.247991386,-6.292996646,0.087861149,0.087861149
C21orf56,0.510681377,0.394395006,-0.885454216,-6.671628109,-0.087859476,0.087859476
HSD3B1,0.156248001,0.089054996,1.86057902,-5.450910268,0.087857732,0.087857732
TCTE3,0.44639501,0.329678549,-1.018739884,-6.544751946,-0.087836727,0.087836727
C20orf4,0.480678219,0.363970049,0.946004212,-6.615863878,0.087814135,0.087814135
OR1J1,0.399825134,0.286357603,-1.119109043,-6.439523789,-0.087805329,0.087805329
IFNA14,0.220581064,0.135501551,-1.607733145,-5.824179343,-0.087792203,0.087792203
ZNF484,0.458424483,0.34147768,-0.993118568,-6.570305687,-0.087789197,0.087789197
SNAP23,0.706044207,0.609779558,-0.52495079,-6.934101734,-0.087786394,0.087786394
DIS3L,0.295407019,0.194797068,1.378419987,-6.132592909,0.087774896,0.087774896
C6orf94,0.64866752,0.542910024,0.627365144,-6.872158792,0.087761216,0.087761216
TCP11L1,0.317261371,0.212954735,1.320122243,-6.2057294,0.087755039,0.087755039
REN,0.222448674,0.136935615,1.601240723,-5.833334188,0.087740445,0.087740445
LY6G6F,0.203210246,0.122556116,1.669249673,-5.73630748,0.087726061,0.087726061
NHS,0.30243609,0.200664002,1.359108494,-6.157071214,0.087724763,0.087724763
LINC00086,0.395208301,0.282159295,1.129435764,-6.428245575,0.087720461,0.087720461
SCN1B,0.365863608,0.255408755,1.19819679,-6.351074683,0.087697874,0.087697874
ZSWIM2,0.314511987,0.210648475,-1.327293763,-6.196855826,-0.087672447,0.087672447
MKS1,0.443977345,0.327470249,-1.023609642,-6.539833823,-0.087661874,0.087661874
TMCO6,0.396195736,0.28295715,1.127464191,-6.430405179,0.087655402,0.087655402
PRKXP1,0.482273757,0.365644539,0.942581024,-6.619100768,0.087636464,0.087636464
FES,0.410888074,0.296700124,-1.094155503,-6.466433744,-0.087626875,0.087626875
TP73,0.382429227,0.270524581,1.158688252,-6.395852674,0.087609189,0.087609189
PCDHA10,0.166920857,0.096219038,-1.814754169,-5.520829037,-0.087607182,0.087607182
SAMD14,0.261482913,0.167198367,1.476402702,-6.004698755,0.087576189,0.087576189
PCDHGB8P,0.143355738,0.080085479,-1.922967474,-5.354260922,-0.087561516,0.087561516
KDM4C,0.174958178,0.101908127,-1.780523632,-5.572437221,-0.087527171,0.087527171
PAIP2B,0.251274902,0.1591204,-1.507681236,-5.962618722,-0.087484116,0.087484116
APOBEC2,0.237036352,0.14818679,-1.552269437,-5.901630506,-0.087456677,0.087456677
DCK,0.329199923,0.223090415,-1.289338844,-6.243417566,-0.087448257,0.087448257
FKBP2,0.177015686,0.10339185,-1.771881013,-5.585381121,-0.08743652,0.08743652
RBM22,0.253463876,0.160877927,-1.500761933,-5.971978104,-0.087378042,0.087378042
C17orf98,0.188177292,0.111477139,-1.726661241,-5.652522968,-0.087372247,0.087372247
LOC100128640,0.364724661,0.254427628,-1.200824177,-6.348055583,-0.087362556,0.087362556
